s,D0_U5.87_F_2mA,D0_U9.A8_F_2mA,D0_U1.AA17_F_2mA,D0_U8.G3_F_2mA
2.95E-09,2.38E-05,2.11E-05,2.55E-05,2.82E-05
2.96E-09,2.37E-05,2.09E-05,2.55E-05,2.84E-05
3.05E-09,2.19E-05,2.32E-05,2.60E-05,3.04E-05
3.06E-09,2.19E-05,2.34E-05,2.59E-05,3.04E-05
3.16E-09,2.09E-05,2.36E-05,2.50E-05,3.04E-05
3.16E-09,2.09E-05,2.36E-05,2.50E-05,3.04E-05
3.26E-09,2.08E-05,2.35E-05,2.58E-05,3.09E-05
3.37E-09,2.06E-05,2.51E-05,2.56E-05,3.08E-05
3.37E-09,2.06E-05,2.50E-05,2.56E-05,3.08E-05
3.47E-09,2.23E-05,2.48E-05,2.72E-05,2.87E-05
3.47E-09,2.25E-05,2.47E-05,2.73E-05,2.86E-05
3.57E-09,2.39E-05,2.32E-05,2.73E-05,2.68E-05
3.58E-09,2.41E-05,2.33E-05,2.73E-05,2.66E-05
3.67E-09,2.41E-05,2.41E-05,2.92E-05,2.44E-05
3.69E-09,2.41E-05,2.44E-05,2.94E-05,2.41E-05
3.77E-09,2.63E-05,2.67E-05,3.00E-05,2.24E-05
3.79E-09,2.67E-05,2.71E-05,3.02E-05,2.21E-05
3.88E-09,2.78E-05,2.87E-05,3.01E-05,2.07E-05
3.90E-09,2.80E-05,2.92E-05,3.00E-05,2.04E-05
3.98E-09,2.79E-05,3.10E-05,2.99E-05,2.05E-05
4.00E-09,2.78E-05,3.02E-05,2.99E-05,2.06E-05
4.08E-09,2.97E-05,2.75E-05,2.85E-05,1.97E-05
4.11E-09,3.04E-05,2.67E-05,2.80E-05,1.94E-05
4.18E-09,2.99E-05,2.45E-05,2.69E-05,2.00E-05
4.21E-09,2.97E-05,2.48E-05,2.65E-05,2.03E-05
4.28E-09,2.95E-05,2.56E-05,2.64E-05,2.13E-05
4.32E-09,2.94E-05,2.47E-05,2.64E-05,2.18E-05
4.39E-09,2.87E-05,2.29E-05,2.44E-05,2.31E-05
4.42E-09,2.83E-05,2.30E-05,2.33E-05,2.37E-05
4.49E-09,2.78E-05,2.33E-05,2.21E-05,2.49E-05
4.53E-09,2.75E-05,2.22E-05,2.14E-05,2.55E-05
4.59E-09,2.47E-05,2.04E-05,2.17E-05,2.67E-05
4.63E-09,2.28E-05,2.22E-05,2.19E-05,2.75E-05
4.69E-09,2.01E-05,2.46E-05,2.14E-05,2.74E-05
4.74E-09,1.80E-05,2.36E-05,2.10E-05,2.73E-05
4.79E-09,1.64E-05,2.24E-05,2.10E-05,2.70E-05
4.84E-09,1.50E-05,2.10E-05,2.10E-05,2.66E-05
4.90E-09,1.41E-05,1.94E-05,2.10E-05,2.69E-05
4.95E-09,1.31E-05,2.05E-05,2.10E-05,2.72E-05
5.00E-09,1.35E-05,2.15E-05,2.15E-05,2.71E-05
5.05E-09,1.40E-05,1.96E-05,2.20E-05,2.71E-05
5.10E-09,1.41E-05,1.80E-05,2.19E-05,2.71E-05
5.16E-09,1.42E-05,1.79E-05,2.19E-05,2.70E-05
5.20E-09,1.60E-05,1.78E-05,2.17E-05,2.60E-05
5.26E-09,1.87E-05,1.60E-05,2.14E-05,2.45E-05
5.30E-09,1.96E-05,1.50E-05,2.14E-05,2.39E-05
5.37E-09,2.10E-05,1.59E-05,2.14E-05,2.28E-05
5.41E-09,2.08E-05,1.64E-05,2.19E-05,2.19E-05
5.47E-09,2.03E-05,2.09E-05,2.30E-05,2.01E-05
5.51E-09,2.06E-05,2.31E-05,2.30E-05,1.91E-05
5.58E-09,2.13E-05,2.16E-05,2.30E-05,1.70E-05
5.61E-09,2.14E-05,2.10E-05,2.30E-05,1.63E-05
5.69E-09,2.16E-05,2.41E-05,2.31E-05,1.46E-05
5.71E-09,2.20E-05,2.52E-05,2.28E-05,1.47E-05
5.79E-09,2.33E-05,2.44E-05,2.17E-05,1.49E-05
5.81E-09,2.36E-05,2.42E-05,2.16E-05,1.46E-05
5.90E-09,2.46E-05,2.29E-05,2.12E-05,1.32E-05
5.92E-09,2.45E-05,2.26E-05,2.11E-05,1.33E-05
6.00E-09,2.43E-05,2.58E-05,2.03E-05,1.37E-05
6.02E-09,2.43E-05,2.64E-05,2.03E-05,1.39E-05
6.11E-09,2.45E-05,2.47E-05,2.02E-05,1.48E-05
6.12E-09,2.48E-05,2.45E-05,1.99E-05,1.49E-05
6.21E-09,2.69E-05,2.33E-05,1.74E-05,1.51E-05
6.22E-09,2.69E-05,2.32E-05,1.73E-05,1.56E-05
6.32E-09,2.72E-05,2.46E-05,1.63E-05,1.99E-05
6.32E-09,2.71E-05,2.47E-05,1.62E-05,2.01E-05
6.42E-09,2.53E-05,2.26E-05,1.62E-05,2.31E-05
6.43E-09,2.53E-05,2.25E-05,1.62E-05,2.32E-05
6.53E-09,2.42E-05,2.18E-05,1.63E-05,2.53E-05
6.63E-09,2.18E-05,1.65E-05,1.74E-05,2.53E-05
6.63E-09,2.17E-05,1.65E-05,1.74E-05,2.53E-05
6.73E-09,1.83E-05,1.52E-05,1.75E-05,2.83E-05
6.74E-09,1.81E-05,1.54E-05,1.75E-05,2.85E-05
6.83E-09,1.42E-05,1.83E-05,1.99E-05,2.90E-05
6.84E-09,1.38E-05,1.81E-05,2.02E-05,2.91E-05
6.94E-09,1.13E-05,1.63E-05,2.15E-05,2.87E-05
6.95E-09,1.09E-05,1.64E-05,2.17E-05,2.86E-05
7.04E-09,9.27E-06,1.68E-05,2.18E-05,2.61E-05
7.05E-09,8.96E-06,1.72E-05,2.19E-05,2.56E-05
7.14E-09,1.02E-05,1.96E-05,2.42E-05,2.35E-05
7.16E-09,1.05E-05,2.00E-05,2.47E-05,2.29E-05
7.24E-09,1.16E-05,2.14E-05,2.45E-05,2.07E-05
7.26E-09,1.19E-05,2.07E-05,2.45E-05,2.01E-05
7.34E-09,1.55E-05,1.80E-05,2.61E-05,1.79E-05
7.37E-09,1.67E-05,1.87E-05,2.66E-05,1.72E-05
7.45E-09,2.02E-05,2.06E-05,2.64E-05,1.55E-05
7.48E-09,2.15E-05,2.04E-05,2.63E-05,1.49E-05
7.55E-09,2.48E-05,2.00E-05,2.58E-05,1.49E-05
7.58E-09,2.62E-05,2.10E-05,2.55E-05,1.50E-05
7.65E-09,2.82E-05,2.31E-05,2.46E-05,1.33E-05
7.69E-09,2.92E-05,2.39E-05,2.42E-05,1.25E-05
7.75E-09,3.06E-05,2.54E-05,2.27E-05,1.25E-05
7.79E-09,3.15E-05,2.57E-05,2.19E-05,1.26E-05
7.85E-09,3.06E-05,2.61E-05,2.02E-05,1.40E-05
7.90E-09,3.00E-05,2.68E-05,1.91E-05,1.50E-05
7.96E-09,2.99E-05,2.78E-05,1.80E-05,1.65E-05
8.00E-09,2.98E-05,2.72E-05,1.71E-05,1.77E-05
8.06E-09,2.95E-05,2.63E-05,1.61E-05,1.94E-05
8.11E-09,2.92E-05,2.64E-05,1.53E-05,2.08E-05
8.16E-09,2.86E-05,2.65E-05,1.54E-05,2.25E-05
8.21E-09,2.79E-05,2.58E-05,1.56E-05,2.42E-05
8.26E-09,2.70E-05,2.51E-05,1.50E-05,2.57E-05
8.32E-09,2.60E-05,2.49E-05,1.45E-05,2.73E-05
8.36E-09,2.51E-05,2.48E-05,1.49E-05,2.83E-05
8.42E-09,2.40E-05,2.38E-05,1.54E-05,2.96E-05
8.47E-09,2.32E-05,2.30E-05,1.62E-05,2.95E-05
8.53E-09,2.19E-05,2.19E-05,1.75E-05,2.94E-05
8.57E-09,2.12E-05,2.13E-05,1.86E-05,2.93E-05
8.63E-09,2.01E-05,2.18E-05,2.03E-05,2.91E-05
8.67E-09,2.01E-05,2.20E-05,2.14E-05,2.86E-05
8.74E-09,2.01E-05,2.17E-05,2.33E-05,2.77E-05
8.77E-09,1.92E-05,2.15E-05,2.43E-05,2.77E-05
8.84E-09,1.72E-05,2.17E-05,2.63E-05,2.76E-05
8.87E-09,1.76E-05,2.18E-05,2.69E-05,2.70E-05
8.95E-09,1.87E-05,2.27E-05,2.86E-05,2.56E-05
8.98E-09,1.89E-05,2.30E-05,2.86E-05,2.52E-05
9.05E-09,1.96E-05,2.31E-05,2.85E-05,2.41E-05
9.08E-09,2.00E-05,2.32E-05,2.91E-05,2.41E-05
9.16E-09,2.13E-05,2.37E-05,3.12E-05,2.42E-05
9.18E-09,2.19E-05,2.38E-05,3.13E-05,2.37E-05
9.27E-09,2.41E-05,2.52E-05,3.16E-05,2.16E-05
9.28E-09,2.46E-05,2.54E-05,3.13E-05,2.15E-05
9.37E-09,2.68E-05,2.46E-05,2.97E-05,2.10E-05
9.38E-09,2.72E-05,2.45E-05,2.96E-05,2.10E-05
9.48E-09,2.93E-05,2.61E-05,2.90E-05,2.11E-05
9.49E-09,2.93E-05,2.63E-05,2.89E-05,2.11E-05
9.58E-09,2.92E-05,2.51E-05,2.76E-05,2.13E-05
9.59E-09,2.93E-05,2.50E-05,2.76E-05,2.13E-05
9.69E-09,3.06E-05,2.70E-05,2.74E-05,2.17E-05
9.69E-09,3.06E-05,2.71E-05,2.73E-05,2.17E-05
9.79E-09,3.01E-05,3.10E-05,2.45E-05,2.39E-05
9.89E-09,2.89E-05,2.96E-05,2.29E-05,2.58E-05
9.90E-09,2.89E-05,2.96E-05,2.29E-05,2.58E-05
1.00E-08,2.87E-05,2.93E-05,0.000144191,2.81E-05
1.00E-08,2.87E-05,2.91E-05,0.000152278,2.83E-05
1.01E-08,2.87E-05,2.59E-05,0.012897013,3.05E-05
1.01E-08,2.87E-05,2.62E-05,0.014215405,3.07E-05
1.02E-08,2.65E-05,2.88E-05,0.055805564,0.000106977
1.02E-08,2.62E-05,3.51E-05,0.061746728,0.000117873
1.03E-08,2.55E-05,7.80E-05,0.128771275,0.00145866
1.03E-08,2.53E-05,0.000373738,0.141183078,0.001706951
1.04E-08,6.27E-05,0.00191178,0.220339715,0.00733335
1.04E-08,7.14E-05,0.003634441,0.238607198,0.00863179
1.05E-08,0.00081604,0.010812002,0.319850296,0.022012241
1.05E-08,0.001024547,0.015115012,0.342598528,0.025758795
1.06E-08,0.004616547,0.029868141,0.414626867,0.049301755
1.06E-08,0.005813867,0.037222005,0.438636035,0.057149317
1.07E-08,0.015399039,0.058364712,0.482767135,0.091432162
1.07E-08,0.019149655,0.069214091,0.500035346,0.10484682
1.08E-08,0.037672944,0.095735349,0.515618086,0.148922071
1.08E-08,0.046092827,0.111004911,0.522701323,0.168956771
1.09E-08,0.075331099,0.143069953,0.514860868,0.220091939
1.09E-08,0.090646684,0.16325216,0.51075387,0.246877566
1.10E-08,0.130837873,0.199946538,0.486812204,0.30066359
1.11E-08,0.15495269,0.224723741,0.472447157,0.332935333
1.11E-08,0.204373032,0.263954341,0.440394282,0.384061754
1.12E-08,0.238186628,0.293352395,0.418463588,0.419042647
1.12E-08,0.293410212,0.334058076,0.386331588,0.463070393
1.13E-08,0.336360872,0.368552059,0.361340642,0.49731338
1.13E-08,0.393089741,0.41043821,0.33624351,0.53152746
1.14E-08,0.44314447,0.450483978,0.314099073,0.561716259
1.14E-08,0.497484922,0.493199915,0.300809056,0.584938586
1.15E-08,0.551825404,0.537446856,0.287519038,0.608160913
1.15E-08,0.600923181,0.578927934,0.288252801,0.620805383
1.16E-08,0.656567514,0.624148905,0.289084405,0.63513577
1.16E-08,0.698564827,0.661389887,0.303637117,0.639304996
1.17E-08,0.752560854,0.704267263,0.322347522,0.64466542
1.17E-08,0.786257923,0.735234201,0.348633409,0.643765032
1.18E-08,0.835507929,0.772951603,0.387051612,0.642449021
1.18E-08,0.860282719,0.796773076,0.421545386,0.640168071
1.19E-08,0.901573777,0.826591849,0.479034752,0.636366427
1.19E-08,0.917315006,0.842992425,0.517290115,0.635655403
1.20E-08,0.947366178,0.862619638,0.590322495,0.634298086
1.20E-08,0.954507172,0.871965885,0.627988398,0.637107849
1.21E-08,0.970217466,0.880765557,0.710853517,0.643289268
1.21E-08,0.969810367,0.884365499,0.744453609,0.650554597
1.22E-08,0.968770087,0.884637952,0.830319226,0.669121385
1.22E-08,0.962687969,0.884732723,0.857603431,0.680652916
1.23E-08,0.944441438,0.880369604,0.93945694,0.715247989
1.23E-08,0.935308397,0.879096985,0.959493816,0.729780257
1.24E-08,0.90269053,0.873404324,1.031053662,0.781680763
1.24E-08,0.893378913,0.872038066,1.044089913,0.797287226
1.25E-08,0.853029549,0.86767447,1.100579143,0.864913881
1.25E-08,0.845908821,0.866835296,1.107820153,0.879624486
1.26E-08,0.807456791,0.866913676,1.146921635,0.95906204
1.26E-08,0.803803086,0.866925299,1.150111198,0.971284568
1.27E-08,0.778225899,0.875261247,1.17243886,1.056846261
1.27E-08,0.777981818,0.876154363,1.173315763,1.0655756
1.28E-08,0.775622606,0.896198571,1.181793213,1.149960876
1.29E-08,0.777527452,0.897580981,1.181729198,1.154964566
1.30E-08,0.806099534,0.931610703,1.180769682,1.23001802
1.30E-08,0.808128834,0.932745218,1.18060708,1.231902122
1.31E-08,0.871026814,0.982871652,1.175565481,1.290299773
1.32E-08,0.963736296,1.04924798,1.172253132,1.326167464
1.32E-08,0.966727436,1.051898599,1.17214632,1.327324629
1.33E-08,1.078401089,1.13140595,1.175147414,1.340409398
1.33E-08,1.085846186,1.137472868,1.175347447,1.341281772
1.34E-08,1.206647515,1.225440502,1.186833501,1.336202979
1.34E-08,1.219143867,1.235026598,1.18802166,1.335677624
1.35E-08,1.339677811,1.324498534,1.208217859,1.319404244
1.35E-08,1.356896162,1.33694613,1.211102843,1.317079544
1.36E-08,1.468961716,1.420970559,1.238924742,1.298074961
1.36E-08,1.489714622,1.435023189,1.244076967,1.294555545
1.37E-08,1.585634112,1.508097529,1.277626514,1.281188488
1.37E-08,1.607769847,1.522018552,1.285368919,1.278103709
1.38E-08,1.681770205,1.580021024,1.322188258,1.276885986
1.38E-08,1.702490449,1.59184885,1.332497716,1.276545048
1.39E-08,1.750960946,1.632401228,1.370049715,1.291144133
1.39E-08,1.76711762,1.640554309,1.382566929,1.296010375
1.40E-08,1.788823366,1.663994908,1.419036865,1.32720983
1.40E-08,1.79731667,1.667806983,1.43330729,1.339417934
1.41E-08,1.79387641,1.677125573,1.467783213,1.385378003
1.41E-08,1.792312622,1.676840544,1.483454108,1.406268835
1.42E-08,1.768437982,1.676242113,1.515879989,1.46284306
1.42E-08,1.755932212,1.67258966,1.532865047,1.492477417
1.43E-08,1.719075561,1.665948987,1.563598275,1.553960443
1.43E-08,1.696961403,1.659988999,1.582038283,1.590850353
1.44E-08,1.656017303,1.650552273,1.611755133,1.651189804
1.44E-08,1.62800324,1.643904567,1.632087588,1.692474365
1.45E-08,1.591680169,1.634700179,1.661408901,1.74637115
1.45E-08,1.56342864,1.629573107,1.684214711,1.788291335
1.46E-08,1.538680434,1.623347402,1.713437557,1.831795573
1.46E-08,1.516843796,1.622144461,1.739222288,1.870181561
1.47E-08,1.507857561,1.620861411,1.767922163,1.900958538
1.47E-08,1.498871446,1.625913262,1.796622157,1.931735396
1.48E-08,1.506601453,1.630649328,1.823842406,1.949309826
1.48E-08,1.515362144,1.644298673,1.854692101,1.969227672
1.49E-08,1.537857175,1.655539155,1.879218578,1.975028276
1.50E-08,1.566779613,1.680052996,1.910752773,1.982486367
1.50E-08,1.600107074,1.69775784,1.931361079,1.979435563
1.51E-08,1.64881587,1.734477401,1.961480618,1.974976778
1.51E-08,1.688247204,1.75766921,1.977251768,1.966759801
1.52E-08,1.753964305,1.805994153,2.003536224,1.953065157
1.52E-08,1.794918418,1.832572579,2.014046192,1.943427801
1.53E-08,1.873103857,1.889765739,2.034110785,1.925029039
1.53E-08,1.91171515,1.917000771,2.039618492,1.917226791
1.54E-08,1.996661067,1.978875995,2.051735878,1.900061727
1.54E-08,2.030026674,2.004188538,2.053162336,1.896378756
1.55E-08,2.115291834,2.065892935,2.056807995,1.886966825
1.55E-08,2.141568184,2.087356091,2.055479765,1.888360977
1.56E-08,2.220395803,2.143889904,2.051495075,1.892543435
1.56E-08,2.238780975,2.160378218,2.048869848,1.898625135
1.57E-08,2.304445982,2.207329273,2.039493322,1.920346856
1.57E-08,2.315192938,2.218597174,2.036917448,1.929717302
1.58E-08,2.361763239,2.25325489,2.025755405,1.970322847
1.58E-08,2.366063595,2.259919882,2.024238586,1.981075883
1.59E-08,2.389285803,2.281871557,2.016047001,2.039143085
1.59E-08,2.389051676,2.285123825,2.01605773,2.049350023
1.60E-08,2.387413025,2.295725107,2.016131878,2.120795965
1.60E-08,2.384893894,2.296861172,2.017506599,2.128919363
1.61E-08,2.360544443,2.298196077,2.030795574,2.207439423
1.61E-08,2.357809782,2.298288107,2.03281641,2.21264267
1.62E-08,2.316783905,2.292695761,2.063131332,2.290701389
1.62E-08,2.315217018,2.292509317,2.064723253,2.292964458
1.63E-08,2.266634941,2.282786846,2.114075184,2.36312747
1.64E-08,2.222524166,2.272553444,2.179788828,2.417457104
1.64E-08,2.221101522,2.272311211,2.181908369,2.41920948
1.65E-08,2.191702843,2.265043497,2.257282734,2.45354867
1.65E-08,2.189743042,2.26492238,2.262307167,2.455837727
1.66E-08,2.180011988,2.263166428,2.340604544,2.470977068
1.66E-08,2.179005384,2.26379776,2.348704815,2.47254324
1.67E-08,2.189893007,2.269688606,2.422752142,2.47167635
1.67E-08,2.19144845,2.271934271,2.433330536,2.47155261
1.68E-08,2.220445871,2.287092209,2.496748686,2.459677696
1.68E-08,2.225815773,2.291869879,2.508492947,2.457478762
1.69E-08,2.268253565,2.316713572,2.556580305,2.440451384
1.70E-08,2.278046608,2.324667692,2.567677021,2.436522245
1.70E-08,2.328601837,2.357810736,2.597993135,2.420072079
1.71E-08,2.342756987,2.369047165,2.606481314,2.415466309
1.71E-08,2.396454096,2.407573223,2.619003057,2.404454708
1.72E-08,2.414353609,2.421604872,2.623177052,2.400784016
1.72E-08,2.467123747,2.461945534,2.620176792,2.398669481
1.73E-08,2.487772942,2.47778821,2.619002819,2.397842169
1.73E-08,2.536358356,2.516514301,2.604474306,2.406258345
1.74E-08,2.558442831,2.53286171,2.59787035,2.410083771
1.74E-08,2.600270271,2.567191362,2.576676607,2.428655624
1.75E-08,2.6221807,2.582677364,2.565574646,2.438384295
1.75E-08,2.655332088,2.610832691,2.542771816,2.46500802
1.76E-08,2.675222635,2.624423742,2.529090405,2.480982065
1.76E-08,2.69854331,2.645943165,2.509326935,2.512174845
1.77E-08,2.714499712,2.657196999,2.49580431,2.533517599
1.77E-08,2.727851868,2.672779322,2.482685089,2.564910412
1.78E-08,2.738236904,2.681735992,2.472481489,2.589327097
1.78E-08,2.742707253,2.692611694,2.468221426,2.606988668
1.79E-08,2.746651888,2.699412107,2.464462519,2.62257266
1.80E-08,2.744468689,2.706665993,2.46958375,2.625133276
1.80E-08,2.742285252,2.711103439,2.474705219,2.627693892
1.81E-08,2.736316204,2.715263605,2.487216473,2.627889395
1.81E-08,2.729551315,2.714826345,2.501395464,2.628111124
1.82E-08,2.722360134,2.714466095,2.517889261,2.627883434
1.82E-08,2.713114023,2.704768658,2.53909564,2.627590656
1.83E-08,2.705587387,2.697764874,2.556818485,2.627421618
1.83E-08,2.694587469,2.680148125,2.582720041,2.627174616
1.84E-08,2.686172009,2.66902113,2.599551439,2.627401114
1.84E-08,2.67214632,2.650066137,2.627603054,2.627778769
1.85E-08,2.662327766,2.639641047,2.642148495,2.628281832
1.85E-08,2.643582821,2.623639107,2.669917583,2.629241943
1.86E-08,2.632944345,2.616019249,2.680734873,2.629558086
1.86E-08,2.609540224,2.603307009,2.704532385,2.630253553
1.87E-08,2.599483728,2.598106384,2.710898876,2.630351782
1.87E-08,2.573783636,2.587704897,2.727168798,2.630602837
1.88E-08,2.565798759,2.584086895,2.729694366,2.630802155
1.88E-08,2.541844845,2.57730341,2.737270355,2.631400108
1.89E-08,2.536973238,2.575324774,2.737009287,2.631736517
1.90E-08,2.519575596,2.574132442,2.736076832,2.63293767
1.90E-08,2.518200874,2.57384634,2.733998537,2.633201122
1.91E-08,2.512243748,2.57556653,2.724991798,2.634343386
1.91E-08,2.51379776,2.575897217,2.721904039,2.634402037
1.92E-08,2.522188902,2.576534271,2.705230713,2.634719372
1.92E-08,2.525280476,2.576628685,2.701940775,2.634668589
1.93E-08,2.546920538,2.576891422,2.678910732,2.63431406
1.93E-08,2.550000906,2.576919556,2.676181555,2.634266138
1.94E-08,2.579781532,2.581750631,2.64979744,2.633803606
1.94E-08,2.581871271,2.582083941,2.648005486,2.633749247
1.95E-08,2.613214016,2.595351696,2.621130705,2.632934809
1.95E-08,2.614109039,2.595793962,2.620312691,2.632882118
1.96E-08,2.641858578,2.615889549,2.594950914,2.631246567
1.97E-08,2.662779093,2.637912273,2.573899984,2.629239798
1.97E-08,2.663453817,2.6386168,2.573220968,2.629174948
1.98E-08,2.677354336,2.659756184,2.559303761,2.627811432
1.98E-08,2.678281307,2.661029339,2.558375835,2.627720594
1.99E-08,2.687474012,2.679486513,2.553097486,2.627334595
1.99E-08,2.688424826,2.680780172,2.552551508,2.627294779
2.00E-08,2.695497274,2.692854881,2.555496693,2.627337694
2.00E-08,2.696507692,2.69321084,2.555917501,2.627343893
2.01E-08,2.702553272,2.6956141,2.565267563,2.62742424
2.01E-08,2.703672886,2.694376707,2.566998959,2.627439022
2.02E-08,2.707381964,2.68794179,2.580929756,2.627766132
2.02E-08,2.708237886,2.685457706,2.584144592,2.627841473
2.03E-08,2.706878662,2.675107002,2.600836992,2.628546715
2.03E-08,2.706498146,2.672229528,2.60551095,2.628744125
2.04E-08,2.698152304,2.662364006,2.622752428,2.629526138
2.04E-08,2.695370436,2.659496069,2.628499269,2.62978673
2.05E-08,2.680332661,2.651250362,2.64397788,2.630340815
2.05E-08,2.674448252,2.6483953,2.650034904,2.630557537
2.06E-08,2.655191183,2.641416073,2.66220665,2.631047487
2.06E-08,2.646438122,2.638694048,2.667739153,2.63127017
2.07E-08,2.626680136,2.632977724,2.676225185,2.632030487
2.07E-08,2.616330862,2.630497932,2.680670261,2.632428885
2.08E-08,2.599960566,2.625989437,2.685549974,2.633388042
2.08E-08,2.590137959,2.623196602,2.688477993,2.633963585
2.09E-08,2.579985619,2.618774891,2.689794302,2.634754181
2.10E-08,2.573039293,2.614701509,2.690695047,2.635294914
2.10E-08,2.569847345,2.609061003,2.688682795,2.635726929
2.11E-08,2.567364931,2.603817225,2.687117815,2.636063099
2.11E-08,2.569610119,2.59744978,2.682460308,2.636214256
2.12E-08,2.571591377,2.592846155,2.678350449,2.636347532
2.12E-08,2.576539993,2.587935925,2.671999931,2.636280298
2.13E-08,2.581488848,2.586172819,2.665649176,2.636213064
2.13E-08,2.586654902,2.584520102,2.658416033,2.635854959
2.14E-08,2.592509985,2.586633444,2.650218487,2.635448933
2.14E-08,2.596581221,2.588373661,2.642777681,2.634821653
2.15E-08,2.601815462,2.594076157,2.633211374,2.634015322
2.15E-08,2.604711294,2.598194599,2.626348972,2.633347034
2.16E-08,2.608943701,2.606700182,2.616319656,2.632370234
2.16E-08,2.611380816,2.612071991,2.610826731,2.631874561
2.17E-08,2.615442991,2.622163296,2.601671696,2.631048441
2.17E-08,2.618318558,2.627713203,2.598008633,2.630738974
2.18E-08,2.623808622,2.637151003,2.591015577,2.630148172
2.18E-08,2.627581596,2.641645193,2.589188099,2.629925728
2.19E-08,2.635881901,2.647828817,2.585167408,2.629436016
2.19E-08,2.640208483,2.650358438,2.584908247,2.629261017
2.20E-08,2.651264906,2.652220249,2.58424592,2.62881422
2.20E-08,2.655176401,2.652867794,2.58519578,2.628710747
2.21E-08,2.666910887,2.651746273,2.588045359,2.628400326
2.21E-08,2.669421434,2.651419163,2.589764118,2.628355742
