s,D0_U5.87_S_4mA,D0_U9.A8_S_4mA,D0_U1.AA17_S_4mA,D0_U8.G3_S_4mA
3.47E-09,1.39E-05,1.62E-05,1.07E-05,1.14E-05
3.47E-09,1.37E-05,1.61E-05,1.07E-05,1.14E-05
3.57E-09,1.05E-05,1.42E-05,1.09E-05,1.15E-05
3.58E-09,1.02E-05,1.41E-05,1.10E-05,1.15E-05
3.67E-09,1.00E-05,1.32E-05,9.60E-06,1.31E-05
3.69E-09,1.00E-05,1.29E-05,9.40E-06,1.33E-05
3.77E-09,8.17E-06,1.09E-05,9.87E-06,1.42E-05
3.79E-09,7.83E-06,1.11E-05,9.96E-06,1.43E-05
3.88E-09,8.89E-06,1.20E-05,1.11E-05,1.43E-05
3.90E-09,9.13E-06,1.16E-05,1.14E-05,1.42E-05
3.98E-09,1.00E-05,9.93E-06,1.14E-05,1.54E-05
4.00E-09,1.03E-05,1.01E-05,1.14E-05,1.58E-05
4.08E-09,1.15E-05,1.07E-05,1.13E-05,1.57E-05
4.11E-09,1.19E-05,9.88E-06,1.12E-05,1.56E-05
4.18E-09,1.28E-05,7.49E-06,1.26E-05,1.56E-05
4.21E-09,1.32E-05,7.58E-06,1.32E-05,1.56E-05
4.28E-09,1.27E-05,7.80E-06,1.36E-05,1.59E-05
4.32E-09,1.25E-05,7.73E-06,1.38E-05,1.60E-05
4.39E-09,1.29E-05,7.60E-06,1.32E-05,1.58E-05
4.42E-09,1.32E-05,8.91E-06,1.30E-05,1.57E-05
4.49E-09,1.22E-05,1.13E-05,1.34E-05,1.39E-05
4.53E-09,1.16E-05,1.20E-05,1.36E-05,1.27E-05
4.59E-09,1.03E-05,1.32E-05,1.37E-05,1.13E-05
4.63E-09,9.37E-06,1.41E-05,1.37E-05,1.02E-05
4.69E-09,8.60E-06,1.54E-05,1.39E-05,1.03E-05
4.74E-09,7.99E-06,1.55E-05,1.40E-05,1.04E-05
4.79E-09,7.71E-06,1.56E-05,1.44E-05,1.05E-05
4.84E-09,7.46E-06,1.48E-05,1.47E-05,1.06E-05
4.90E-09,8.82E-06,1.39E-05,1.47E-05,9.54E-06
4.95E-09,1.02E-05,1.37E-05,1.47E-05,8.51E-06
5.00E-09,1.15E-05,1.35E-05,1.40E-05,8.30E-06
5.05E-09,1.30E-05,1.33E-05,1.32E-05,8.05E-06
5.10E-09,1.45E-05,1.31E-05,1.28E-05,8.77E-06
5.16E-09,1.64E-05,1.39E-05,1.23E-05,9.69E-06
5.20E-09,1.73E-05,1.45E-05,1.23E-05,9.78E-06
5.26E-09,1.86E-05,1.28E-05,1.23E-05,9.91E-06
5.30E-09,1.90E-05,1.18E-05,1.18E-05,1.00E-05
5.37E-09,1.99E-05,1.11E-05,1.10E-05,1.02E-05
5.41E-09,1.97E-05,1.08E-05,1.09E-05,1.02E-05
5.47E-09,1.95E-05,1.18E-05,1.07E-05,1.02E-05
5.51E-09,1.86E-05,1.22E-05,1.04E-05,1.10E-05
5.58E-09,1.67E-05,1.34E-05,9.71E-06,1.26E-05
5.61E-09,1.56E-05,1.38E-05,9.72E-06,1.28E-05
5.69E-09,1.26E-05,1.33E-05,9.73E-06,1.34E-05
5.71E-09,1.18E-05,1.31E-05,9.83E-06,1.34E-05
5.79E-09,9.41E-06,1.47E-05,1.01E-05,1.35E-05
5.81E-09,8.78E-06,1.52E-05,1.03E-05,1.34E-05
5.90E-09,6.52E-06,1.39E-05,1.11E-05,1.31E-05
5.92E-09,6.56E-06,1.36E-05,1.11E-05,1.31E-05
6.00E-09,6.76E-06,1.44E-05,1.12E-05,1.30E-05
6.02E-09,7.01E-06,1.46E-05,1.11E-05,1.32E-05
6.11E-09,8.36E-06,1.10E-05,1.07E-05,1.46E-05
6.12E-09,8.65E-06,1.04E-05,1.08E-05,1.46E-05
6.21E-09,1.06E-05,6.94E-06,1.08E-05,1.48E-05
6.22E-09,1.08E-05,6.57E-06,1.10E-05,1.48E-05
6.32E-09,1.25E-05,1.03E-05,1.27E-05,1.55E-05
6.32E-09,1.25E-05,1.06E-05,1.28E-05,1.55E-05
6.42E-09,1.23E-05,8.53E-06,1.35E-05,1.53E-05
6.43E-09,1.24E-05,8.46E-06,1.35E-05,1.53E-05
6.53E-09,1.34E-05,9.31E-06,1.35E-05,1.54E-05
6.63E-09,1.28E-05,1.04E-05,1.33E-05,1.53E-05
6.63E-09,1.28E-05,1.04E-05,1.33E-05,1.53E-05
6.73E-09,1.13E-05,1.23E-05,1.44E-05,1.21E-05
6.74E-09,1.12E-05,1.24E-05,1.45E-05,1.19E-05
6.83E-09,1.15E-05,1.43E-05,1.43E-05,1.04E-05
6.84E-09,1.16E-05,1.44E-05,1.43E-05,1.02E-05
6.94E-09,1.17E-05,1.55E-05,1.34E-05,1.03E-05
6.95E-09,1.17E-05,1.56E-05,1.32E-05,1.03E-05
7.04E-09,1.25E-05,1.60E-05,1.31E-05,8.73E-06
7.05E-09,1.27E-05,1.61E-05,1.31E-05,8.44E-06
7.14E-09,1.29E-05,1.69E-05,1.30E-05,8.13E-06
7.16E-09,1.29E-05,1.65E-05,1.29E-05,8.06E-06
7.24E-09,1.58E-05,1.45E-05,1.27E-05,9.67E-06
7.26E-09,1.66E-05,1.42E-05,1.26E-05,1.01E-05
7.34E-09,1.82E-05,1.33E-05,1.19E-05,1.06E-05
7.37E-09,1.87E-05,1.34E-05,1.17E-05,1.08E-05
7.45E-09,1.81E-05,1.34E-05,1.16E-05,1.20E-05
7.48E-09,1.78E-05,1.35E-05,1.16E-05,1.25E-05
7.55E-09,1.80E-05,1.36E-05,1.15E-05,1.25E-05
7.58E-09,1.81E-05,1.37E-05,1.15E-05,1.24E-05
7.65E-09,1.64E-05,1.37E-05,1.13E-05,1.40E-05
7.69E-09,1.55E-05,1.41E-05,1.13E-05,1.48E-05
7.75E-09,1.49E-05,1.48E-05,1.09E-05,1.54E-05
7.79E-09,1.45E-05,1.54E-05,1.07E-05,1.57E-05
7.85E-09,1.47E-05,1.64E-05,1.07E-05,1.57E-05
7.90E-09,1.48E-05,1.68E-05,1.07E-05,1.57E-05
7.96E-09,1.37E-05,1.73E-05,1.19E-05,1.67E-05
8.00E-09,1.29E-05,1.58E-05,1.28E-05,1.75E-05
8.06E-09,1.29E-05,1.39E-05,1.33E-05,1.78E-05
8.11E-09,1.28E-05,1.31E-05,1.38E-05,1.80E-05
8.16E-09,1.25E-05,1.22E-05,1.38E-05,1.72E-05
8.21E-09,1.22E-05,1.16E-05,1.39E-05,1.65E-05
8.26E-09,1.21E-05,1.11E-05,1.47E-05,1.65E-05
8.32E-09,1.20E-05,9.11E-06,1.57E-05,1.65E-05
8.36E-09,1.17E-05,7.46E-06,1.59E-05,1.66E-05
8.42E-09,1.13E-05,7.12E-06,1.62E-05,1.67E-05
8.47E-09,1.05E-05,6.88E-06,1.57E-05,1.67E-05
8.53E-09,9.32E-06,8.31E-06,1.50E-05,1.66E-05
8.57E-09,8.14E-06,9.22E-06,1.52E-05,1.54E-05
8.63E-09,6.17E-06,1.14E-05,1.54E-05,1.35E-05
8.67E-09,5.59E-06,1.26E-05,1.49E-05,1.27E-05
8.74E-09,4.48E-06,1.33E-05,1.40E-05,1.12E-05
8.77E-09,4.91E-06,1.36E-05,1.41E-05,1.06E-05
8.84E-09,5.87E-06,1.14E-05,1.43E-05,9.23E-06
8.87E-09,6.22E-06,1.05E-05,1.45E-05,9.36E-06
8.95E-09,7.12E-06,9.98E-06,1.52E-05,9.69E-06
8.98E-09,7.82E-06,9.78E-06,1.52E-05,9.40E-06
9.05E-09,9.91E-06,8.63E-06,1.50E-05,8.55E-06
9.08E-09,1.05E-05,8.30E-06,1.50E-05,8.55E-06
9.16E-09,1.28E-05,9.73E-06,1.51E-05,8.53E-06
9.18E-09,1.28E-05,1.01E-05,1.44E-05,8.16E-06
9.27E-09,1.26E-05,1.19E-05,1.18E-05,6.53E-06
9.28E-09,1.26E-05,1.23E-05,1.16E-05,6.46E-06
9.37E-09,1.26E-05,1.17E-05,1.06E-05,6.05E-06
9.38E-09,1.28E-05,1.16E-05,1.06E-05,6.33E-06
9.48E-09,1.40E-05,1.12E-05,1.05E-05,8.30E-06
9.49E-09,1.40E-05,1.12E-05,1.03E-05,8.34E-06
9.58E-09,1.41E-05,9.54E-06,8.79E-06,8.66E-06
9.59E-09,1.40E-05,9.42E-06,8.74E-06,8.71E-06
9.69E-09,1.16E-05,1.03E-05,8.06E-06,9.41E-06
9.69E-09,1.16E-05,1.03E-05,8.07E-06,9.41E-06
9.79E-09,1.01E-05,1.09E-05,8.19E-06,9.42E-06
9.89E-09,9.86E-06,1.11E-05,9.00E-06,9.06E-06
9.90E-09,9.86E-06,1.12E-05,9.03E-06,9.05E-06
1.00E-08,6.79E-06,1.54E-05,5.49E-05,9.01E-06
1.00E-08,6.59E-06,1.52E-05,5.80E-05,9.01E-06
1.01E-08,8.23E-06,1.31E-05,0.004310099,8.49E-06
1.01E-08,8.40E-06,1.31E-05,0.004750004,8.43E-06
1.02E-08,9.55E-06,1.31E-05,0.016173629,3.73E-05
1.02E-08,9.72E-06,1.54E-05,0.017805623,4.14E-05
1.03E-08,1.25E-05,3.06E-05,0.037486281,0.000476908
1.03E-08,1.30E-05,0.000130008,0.041130841,0.000557555
1.04E-08,2.93E-05,0.000646776,0.069153719,0.002207243
1.04E-08,3.31E-05,0.001150222,0.075620376,0.002587931
1.05E-08,0.000277715,0.003247975,0.110867888,0.006515205
1.05E-08,0.000346218,0.004466388,0.120737165,0.007614839
1.06E-08,0.00141395,0.00864379,0.160435751,0.01496
1.06E-08,0.001769857,0.010987797,0.173668459,0.01740836
1.07E-08,0.004580573,0.017726926,0.214943767,0.029110709
1.07E-08,0.005680388,0.021715678,0.231094524,0.033689763
1.08E-08,0.011349999,0.03146616,0.270923257,0.050464582
1.08E-08,0.013927159,0.037734393,0.289027691,0.058089685
1.09E-08,0.023562096,0.050897256,0.325538069,0.080229342
1.09E-08,0.028609067,0.060202438,0.344662935,0.091826536
1.10E-08,0.043122157,0.077120706,0.376675338,0.118975401
1.11E-08,0.05183005,0.090188444,0.395882845,0.135264799
1.11E-08,0.071776949,0.110879056,0.423521012,0.166525304
1.12E-08,0.085424699,0.128424495,0.442431152,0.18791385
1.12E-08,0.110850476,0.152718574,0.466197491,0.22203055
1.13E-08,0.130625993,0.17569524,0.484682351,0.248565659
1.13E-08,0.161096826,0.20359534,0.50516814,0.284178704
1.14E-08,0.187982783,0.232863069,0.523243785,0.315601856
1.14E-08,0.222705662,0.264082283,0.54149574,0.351406991
1.15E-08,0.257427961,0.300318271,0.559747398,0.387211502
1.15E-08,0.295397043,0.334290326,0.576913297,0.422009826
1.16E-08,0.33842805,0.377675384,0.596367657,0.461447328
1.16E-08,0.378494471,0.413403749,0.613510728,0.494362056
1.17E-08,0.430009663,0.463628262,0.635552347,0.53668201
1.17E-08,0.470899194,0.499900937,0.653437972,0.567245901
1.18E-08,0.530661404,0.556489766,0.679578781,0.611916661
1.18E-08,0.571018338,0.592230082,0.698698819,0.639999509
1.19E-08,0.638279617,0.654352188,0.730565369,0.686804116
1.19E-08,0.676765144,0.688519895,0.750949323,0.712530494
1.20E-08,0.750236988,0.755028069,0.789863825,0.761644065
1.21E-08,0.863467991,0.856373191,0.856131196,0.837161899
1.21E-08,0.894767165,0.884876788,0.874728858,0.858914316
1.22E-08,0.974752724,0.95668751,0.922255635,0.914502978
1.22E-08,1.001339436,0.98166585,0.938527644,0.93458569
1.23E-08,1.081097841,1.054867268,0.987342477,0.994832456
1.23E-08,1.102796316,1.076217771,1.001741052,1.013134599
1.24E-08,1.180290103,1.149775982,1.053163886,1.07849884
1.24E-08,1.197328687,1.167429566,1.06596756,1.09473443
1.25E-08,1.271164298,1.239374995,1.121451616,1.165090561
1.25E-08,1.284028649,1.253210545,1.132718801,1.178944349
1.26E-08,1.353497267,1.322579622,1.193562508,1.253755331
1.26E-08,1.362785816,1.33285594,1.203181267,1.264981866
1.27E-08,1.427808404,1.399915576,1.270515919,1.343571424
1.27E-08,1.434075594,1.40710032,1.278222919,1.351999283
1.28E-08,1.494659781,1.472411036,1.352725983,1.433469892
1.29E-08,1.498460412,1.476915359,1.358135462,1.438997626
1.30E-08,1.555468321,1.540965438,1.439274549,1.521912336
1.30E-08,1.557245255,1.543100834,1.442067862,1.524585843
1.31E-08,1.612320781,1.606320024,1.528647304,1.607453227
1.32E-08,1.665802002,1.66797924,1.6161201,1.686674118
1.32E-08,1.66752696,1.669976115,1.618941426,1.689229369
1.33E-08,1.719935298,1.729888916,1.702423215,1.761999607
1.33E-08,1.723429322,1.733947158,1.707988858,1.766851068
1.34E-08,1.776720285,1.792790532,1.785714149,1.833254814
1.34E-08,1.782233477,1.798976421,1.793755293,1.840124607
1.35E-08,1.837702394,1.856707335,1.864200115,1.900351644
1.35E-08,1.845626712,1.865106225,1.874264002,1.908955812
1.36E-08,1.903595686,1.921797633,1.936622262,1.963582039
1.36E-08,1.914330602,1.932566762,1.948170066,1.97369802
1.37E-08,1.974180937,1.988566756,2.002465248,2.023625612
1.37E-08,1.987992287,2.001868725,2.014994621,2.03514719
1.38E-08,2.048475981,2.057295561,2.061759233,2.081181288
1.38E-08,2.065411329,2.073083878,2.07485342,2.094070673
1.39E-08,2.144896269,2.145258904,2.1284585,2.151046276
1.40E-08,2.202056646,2.197134972,2.163198471,2.191003323
1.40E-08,2.22442317,2.217183113,2.176791906,2.206638098
1.41E-08,2.277613878,2.266190529,2.207593203,2.244389772
1.41E-08,2.301791906,2.287925482,2.221594095,2.26154995
1.42E-08,2.349925756,2.333567381,2.249721527,2.297531128
1.42E-08,2.375139236,2.356420755,2.264455318,2.316378832
1.43E-08,2.417684317,2.397971869,2.291010857,2.350698233
1.43E-08,2.443211317,2.421153069,2.306944132,2.371289968
1.44E-08,2.480056047,2.457856655,2.332551718,2.403842688
1.44E-08,2.505265236,2.48068881,2.350072384,2.426115513
1.45E-08,2.53642869,2.512302876,2.375199795,2.456758261
1.45E-08,2.5606668,2.534490824,2.394743443,2.480591297
1.46E-08,2.586339712,2.561433077,2.419544935,2.508901358
1.46E-08,2.6089921,2.582885742,2.441428661,2.533880711
1.47E-08,2.629630327,2.605768681,2.465723753,2.558985233
1.47E-08,2.650268316,2.62633729,2.490018606,2.584089279
1.48E-08,2.66658783,2.645620346,2.513397455,2.599921465
1.48E-08,2.685083866,2.665202856,2.539894104,2.617864847
1.49E-08,2.69797349,2.68132925,2.561767817,2.620862246
1.50E-08,2.714545965,2.699859619,2.589891672,2.624716043
1.50E-08,2.724914074,2.713243008,2.609199047,2.626086235
1.51E-08,2.740067244,2.72933507,2.637417078,2.628088713
1.51E-08,2.748609066,2.739498615,2.652761698,2.629513741
1.52E-08,2.762844801,2.748701811,2.678335428,2.631888866
1.52E-08,2.769396305,2.753763437,2.689461231,2.633466482
1.53E-08,2.781903982,2.755044699,2.710701466,2.636478186
1.53E-08,2.785584688,2.755654812,2.717926264,2.638272524
1.54E-08,2.793682337,2.753436804,2.733821154,2.642220497
1.54E-08,2.793896437,2.752529383,2.738040447,2.644094944
1.55E-08,2.794443369,2.750179052,2.748823166,2.648884773
1.55E-08,2.791619778,2.749361515,2.750600576,2.650453091
1.56E-08,2.783148766,2.746244192,2.755933046,2.655157804
1.56E-08,2.778481245,2.745334864,2.755753517,2.656288147
1.57E-08,2.761811972,2.738949537,2.75511241,2.660324574
1.57E-08,2.756651878,2.737417221,2.753842115,2.661209106
1.58E-08,2.734291315,2.727234125,2.748337269,2.665041924
1.58E-08,2.729692221,2.725275755,2.746742964,2.665758848
1.59E-08,2.704856873,2.713374615,2.738134384,2.669630527
1.59E-08,2.701474905,2.711611509,2.736632347,2.670108795
1.60E-08,2.677801132,2.697453737,2.726117373,2.673456192
1.60E-08,2.675765276,2.695936918,2.724865437,2.67366457
1.61E-08,2.656084061,2.676909208,2.712761879,2.675678968
1.61E-08,2.65507865,2.675596714,2.711860895,2.675721645
1.62E-08,2.639998913,2.652515411,2.698349476,2.676362991
1.62E-08,2.639601946,2.651746035,2.69790554,2.676358223
1.63E-08,2.627294064,2.629757404,2.684142113,2.67621088
1.64E-08,2.615740538,2.614836931,2.671426296,2.675307035
1.64E-08,2.615367889,2.614601374,2.671016216,2.675277948
1.65E-08,2.604108572,2.607536793,2.659653425,2.673341751
1.65E-08,2.60335803,2.607385159,2.658895969,2.673212767
1.66E-08,2.59354496,2.605185747,2.6488204,2.670542955
1.66E-08,2.592529774,2.605327129,2.647778034,2.670266628
1.67E-08,2.586140394,2.60664773,2.63953352,2.667647362
1.67E-08,2.585227728,2.607326508,2.63835597,2.667273283
1.68E-08,2.584191084,2.611908197,2.632735968,2.665169001
1.68E-08,2.583999157,2.613083601,2.631695271,2.664779186
1.69E-08,2.589484215,2.619195461,2.628674507,2.662935734
1.70E-08,2.590749979,2.620419502,2.627977371,2.662510395
1.70E-08,2.602365017,2.625519276,2.626812935,2.660648584
1.71E-08,2.605617046,2.626497507,2.626487017,2.660127401
1.71E-08,2.621012449,2.62985158,2.626749039,2.658460617
1.72E-08,2.626144409,2.631136179,2.626836538,2.657904863
1.72E-08,2.641812563,2.634829283,2.628405094,2.65670228
1.73E-08,2.647943735,2.637360096,2.629019022,2.656231642
1.73E-08,2.660896778,2.643546343,2.631608725,2.655422688
1.74E-08,2.666784525,2.647529602,2.632785797,2.655054808
1.74E-08,2.675684452,2.655894279,2.635833263,2.654438734
1.75E-08,2.680346251,2.660717249,2.637429476,2.654115915
1.75E-08,2.685487509,2.669486284,2.640529394,2.653761625
1.76E-08,2.688572168,2.674457312,2.642389297,2.653549194
1.76E-08,2.691190243,2.682327509,2.645628929,2.653701544
1.77E-08,2.692981482,2.686932087,2.647845745,2.653805733
1.77E-08,2.694569349,2.6933074,2.651345015,2.654443979
1.78E-08,2.695804358,2.696701765,2.654066563,2.654940367
1.78E-08,2.697485447,2.700823307,2.657588005,2.655765772
1.79E-08,2.698968887,2.701721907,2.660695314,2.656493902
1.80E-08,2.700979948,2.702680588,2.663854837,2.657279968
1.80E-08,2.70299077,2.700531244,2.66701436,2.658065796
1.81E-08,2.704582214,2.698516369,2.669598103,2.658797264
1.81E-08,2.706385851,2.694387197,2.672526598,2.659626245
1.82E-08,2.706431866,2.690986633,2.674510479,2.660318851
1.82E-08,2.706490755,2.686683178,2.677061319,2.661209106
1.83E-08,2.704320431,2.683574915,2.678386688,2.661768913
1.83E-08,2.701148272,2.680110216,2.680323601,2.662587166
1.84E-08,2.696986198,2.677921772,2.680901051,2.662943363
1.84E-08,2.690049887,2.675146818,2.681863546,2.663537264
1.85E-08,2.684839487,2.673620701,2.681787252,2.663764954
1.85E-08,2.674892426,2.67109108,2.681641817,2.664199352
1.86E-08,2.669838905,2.669886351,2.681178331,2.664406538
1.86E-08,2.658721209,2.667337418,2.680158854,2.664862394
1.87E-08,2.654842854,2.666294575,2.679542303,2.665050507
1.87E-08,2.644931316,2.663081884,2.677966595,2.665531635
1.88E-08,2.642730474,2.661964417,2.677284002,2.665630579
1.88E-08,2.636127234,2.657063961,2.675235748,2.665927887
1.89E-08,2.635453224,2.655634642,2.674510956,2.665916443
1.90E-08,2.633045912,2.648894787,2.671922684,2.665875912
1.90E-08,2.633275747,2.647277355,2.671218872,2.665798426
1.91E-08,2.634272099,2.640319109,2.668169498,2.665462255
1.91E-08,2.634717703,2.638981104,2.667554855,2.665356159
1.92E-08,2.637124062,2.634311914,2.664236307,2.664782763
1.92E-08,2.637384653,2.633620024,2.663735628,2.664659977
1.93E-08,2.63920927,2.632799387,2.660231352,2.663801432
1.93E-08,2.639243364,2.632711411,2.659854174,2.663685322
1.94E-08,2.639573097,2.635673046,2.656206846,2.662561893
1.94E-08,2.639532089,2.635877371,2.655973196,2.6624856
1.95E-08,2.638915539,2.641697884,2.65247035,2.661340714
1.95E-08,2.638920069,2.641891956,2.652380466,2.66131258
1.96E-08,2.63906002,2.649360418,2.649591923,2.660438538
1.97E-08,2.641943455,2.656549215,2.648044825,2.659911156
1.97E-08,2.642036438,2.65671277,2.647994995,2.659894228
1.98E-08,2.648566961,2.661617994,2.647714138,2.659564257
1.98E-08,2.649002314,2.661757231,2.647695541,2.659542322
1.99E-08,2.658430099,2.663776875,2.648409367,2.659306765
1.99E-08,2.65940547,2.6638062,2.648483276,2.659282446
2.00E-08,2.669513941,2.664078712,2.64994669,2.659156561
2.00E-08,2.670958042,2.664142132,2.650155783,2.659138441
2.01E-08,2.679103136,2.664569378,2.652112246,2.6591084
2.01E-08,2.680611372,2.664901495,2.652474642,2.659102917
2.02E-08,2.684957266,2.666628599,2.65459156,2.659101009
2.02E-08,2.685960293,2.667332411,2.65508008,2.659100533
2.03E-08,2.686169624,2.670264721,2.657075882,2.659133196
2.03E-08,2.686228275,2.671245337,2.657634735,2.659142256
2.04E-08,2.683378458,2.674607515,2.659454346,2.659323692
2.04E-08,2.68242836,2.675607681,2.660060883,2.659384251
2.05E-08,2.678385973,2.678483486,2.661800623,2.659787893
2.05E-08,2.676804304,2.679074287,2.662481546,2.659945726
2.06E-08,2.67340064,2.680518389,2.664166927,2.660493374
2.06E-08,2.671853542,2.680164576,2.664932966,2.660742283
2.07E-08,2.67012763,2.679421186,2.66644311,2.661285639
2.07E-08,2.669223785,2.677807331,2.667234182,2.661570072
2.08E-08,2.669061899,2.674872875,2.6684165,2.662017345
2.08E-08,2.668964624,2.672258854,2.669125795,2.662285566
2.09E-08,2.669336557,2.668120146,2.669888735,2.662609816
2.10E-08,2.669591188,2.665294886,2.670410872,2.662831545
2.10E-08,2.66925931,2.661382914,2.670703411,2.663011312
2.11E-08,2.669001102,2.659194469,2.670931101,2.663151264
2.11E-08,2.667238951,2.656537056,2.670725346,2.66317606
2.12E-08,2.665684223,2.655454159,2.670543671,2.663197756
2.12E-08,2.662612438,2.654299259,2.669898987,2.663116932
2.13E-08,2.659540892,2.654323339,2.669254541,2.663036108
2.13E-08,2.655988932,2.654345989,2.668353558,2.66294241
2.14E-08,2.651963234,2.655113935,2.667332411,2.662836075
2.14E-08,2.649030209,2.655746222,2.666396141,2.662784576
2.15E-08,2.64525938,2.656581163,2.665192127,2.662718296
2.15E-08,2.64380455,2.657184362,2.664366007,2.662693501
2.16E-08,2.641678333,2.657287121,2.663158655,2.662657261
2.16E-08,2.641944647,2.657352209,2.662487507,2.66261816
2.17E-08,2.642388344,2.656277418,2.661368847,2.662553072
2.17E-08,2.643938541,2.65568614,2.660847425,2.662482023
2.18E-08,2.646898031,2.653790236,2.659852266,2.662346125
2.18E-08,2.648888588,2.652887583,2.65946126,2.662245989
2.19E-08,2.653268099,2.651242018,2.658601284,2.662025452
2.19E-08,2.654894114,2.650568962,2.658308506,2.661901712
2.20E-08,2.659049273,2.650315762,2.657560349,2.661585093
2.20E-08,2.659891129,2.650227785,2.657334089,2.661451578
2.21E-08,2.662416935,2.651946783,2.656655312,2.661051035
2.21E-08,2.662526369,2.652448177,2.656491041,2.660938025
2.22E-08,2.66291666,2.655972242,2.65590477,2.660534859
2.22E-08,2.662656546,2.656817913,2.6558249,2.660471201
