s,D0_U5.87_F_24mA,D0_U9.A8_F_24mA,D0_U1.AA17_F_24mA,D0_U8.G3_F_24mA
1.68E-09,5.18E-06,5.80E-06,2.71E-06,4.41E-06
1.73E-09,5.57E-06,5.50E-06,2.43E-06,4.05E-06
1.79E-09,6.02E-06,6.97E-06,2.11E-06,3.63E-06
1.84E-09,6.07E-06,8.18E-06,2.12E-06,3.89E-06
1.90E-09,6.13E-06,6.87E-06,2.13E-06,4.22E-06
1.94E-09,7.48E-06,5.93E-06,2.72E-06,3.94E-06
2.00E-09,9.45E-06,4.56E-06,3.59E-06,3.52E-06
2.04E-09,9.17E-06,3.70E-06,3.47E-06,3.82E-06
2.11E-09,8.70E-06,3.20E-06,3.27E-06,4.33E-06
2.14E-09,8.85E-06,2.92E-06,3.53E-06,4.32E-06
2.21E-09,9.12E-06,5.15E-06,4.01E-06,4.32E-06
2.24E-09,9.05E-06,6.21E-06,3.84E-06,4.85E-06
2.32E-09,8.90E-06,5.90E-06,3.45E-06,6.01E-06
2.35E-09,8.05E-06,5.77E-06,3.66E-06,6.15E-06
2.42E-09,5.87E-06,6.43E-06,4.21E-06,6.50E-06
2.45E-09,5.54E-06,6.66E-06,3.99E-06,6.21E-06
2.53E-09,4.57E-06,7.73E-06,3.33E-06,5.33E-06
2.55E-09,4.63E-06,8.04E-06,3.36E-06,5.52E-06
2.63E-09,4.85E-06,8.73E-06,3.45E-06,6.18E-06
2.65E-09,4.56E-06,8.90E-06,3.35E-06,6.15E-06
2.74E-09,3.32E-06,5.51E-06,2.92E-06,6.02E-06
2.75E-09,3.36E-06,4.86E-06,2.93E-06,6.33E-06
2.84E-09,3.54E-06,1.05E-06,2.98E-06,8.05E-06
2.86E-09,3.51E-06,4.83E-07,3.19E-06,8.07E-06
2.95E-09,3.23E-06,1.51E-06,4.65E-06,8.24E-06
2.96E-09,3.12E-06,1.62E-06,4.64E-06,8.10E-06
3.05E-09,1.99E-06,6.37E-07,4.57E-06,6.82E-06
3.06E-09,1.97E-06,5.69E-07,4.54E-06,6.77E-06
3.16E-09,1.72E-06,3.79E-06,4.20E-06,6.05E-06
3.16E-09,1.67E-06,3.90E-06,4.23E-06,6.05E-06
3.26E-09,2.72E-07,7.39E-06,5.09E-06,6.29E-06
3.37E-09,1.14E-07,7.48E-06,4.40E-06,4.64E-06
3.37E-09,1.09E-07,7.49E-06,4.37E-06,4.59E-06
3.47E-09,2.64E-06,7.95E-06,4.48E-06,4.78E-06
3.47E-09,2.81E-06,7.95E-06,4.49E-06,4.79E-06
3.57E-09,6.22E-06,7.85E-06,4.36E-06,2.57E-06
3.58E-09,6.58E-06,7.45E-06,4.35E-06,2.34E-06
3.67E-09,9.74E-06,3.74E-06,5.18E-06,1.97E-06
3.69E-09,1.02E-05,3.48E-06,5.29E-06,1.92E-06
3.77E-09,1.18E-05,1.74E-06,4.66E-06,8.70E-07
3.79E-09,1.21E-05,1.48E-06,4.54E-06,6.75E-07
3.88E-09,1.01E-05,1.27E-07,4.53E-06,7.52E-07
3.90E-09,9.59E-06,1.22E-07,4.53E-06,7.69E-07
3.98E-09,7.36E-06,1.04E-07,4.53E-06,1.41E-06
4.00E-09,6.73E-06,7.62E-07,4.53E-06,1.59E-06
4.08E-09,2.79E-06,3.02E-06,4.83E-06,1.60E-06
4.11E-09,1.48E-06,2.91E-06,4.94E-06,1.60E-06
4.18E-09,-2.31E-06,2.61E-06,4.84E-06,1.58E-06
4.21E-09,-3.79E-06,3.26E-06,4.80E-06,1.57E-06
4.28E-09,-6.20E-06,4.87E-06,3.79E-06,1.59E-06
4.32E-09,-7.29E-06,5.56E-06,3.34E-06,1.59E-06
4.39E-09,-6.68E-06,7.01E-06,3.35E-06,1.60E-06
4.42E-09,-6.36E-06,5.68E-06,3.36E-06,1.60E-06
4.49E-09,-4.27E-06,3.26E-06,3.29E-06,1.36E-06
4.53E-09,-3.01E-06,1.44E-06,3.25E-06,1.21E-06
4.59E-09,-6.40E-07,-1.44E-06,3.17E-06,1.29E-06
4.63E-09,9.80E-07,-2.32E-06,3.12E-06,1.35E-06
4.69E-09,2.87E-06,-3.55E-06,2.63E-06,2.52E-06
4.74E-09,4.34E-06,-3.62E-06,2.25E-06,3.43E-06
4.79E-09,4.38E-06,-3.72E-06,2.23E-06,3.67E-06
4.84E-09,4.42E-06,-4.43E-06,2.21E-06,3.88E-06
4.90E-09,4.18E-06,-5.19E-06,2.00E-06,3.89E-06
4.95E-09,3.94E-06,-4.50E-06,1.79E-06,3.90E-06
5.00E-09,2.41E-06,-3.85E-06,2.47E-06,3.24E-06
5.05E-09,6.75E-07,1.28E-06,3.25E-06,2.50E-06
5.10E-09,-9.66E-07,5.50E-06,2.91E-06,2.22E-06
5.16E-09,-3.08E-06,7.19E-06,2.47E-06,1.86E-06
5.20E-09,-2.55E-06,8.41E-06,2.47E-06,2.27E-06
5.26E-09,-1.79E-06,9.86E-06,2.47E-06,2.88E-06
5.30E-09,-1.57E-06,1.08E-05,2.46E-06,2.59E-06
5.37E-09,-1.21E-06,8.16E-06,2.44E-06,2.10E-06
5.41E-09,9.18E-07,6.72E-06,2.44E-06,2.22E-06
5.47E-09,4.98E-06,6.78E-06,2.44E-06,2.43E-06
5.51E-09,6.46E-06,6.81E-06,2.78E-06,2.60E-06
5.58E-09,9.72E-06,3.00E-06,3.53E-06,2.98E-06
5.61E-09,1.09E-05,1.44E-06,3.44E-06,3.19E-06
5.69E-09,1.40E-05,3.88E-07,3.21E-06,3.72E-06
5.71E-09,1.39E-05,2.34E-08,3.09E-06,3.67E-06
5.79E-09,1.37E-05,2.17E-06,2.76E-06,3.51E-06
5.81E-09,1.29E-05,2.79E-06,2.84E-06,3.36E-06
5.90E-09,1.02E-05,1.77E-06,3.15E-06,2.81E-06
5.92E-09,9.12E-06,1.52E-06,3.00E-06,2.85E-06
6.00E-09,4.41E-06,6.66E-06,2.32E-06,3.04E-06
6.02E-09,3.55E-06,7.65E-06,2.33E-06,3.18E-06
6.11E-09,-1.15E-06,8.54E-06,2.41E-06,3.96E-06
6.12E-09,-1.38E-06,8.67E-06,2.50E-06,3.94E-06
6.21E-09,-3.00E-06,4.77E-06,3.13E-06,3.78E-06
6.22E-09,-3.06E-06,4.36E-06,3.11E-06,3.92E-06
6.32E-09,-3.65E-06,3.15E-06,2.94E-06,5.22E-06
6.32E-09,-3.60E-06,3.07E-06,2.91E-06,5.25E-06
6.42E-09,-2.80E-06,3.82E-06,2.37E-06,5.74E-06
6.43E-09,-2.78E-06,3.84E-06,2.36E-06,5.70E-06
6.53E-09,-2.13E-06,1.57E-06,2.23E-06,4.62E-06
6.63E-09,2.47E-06,4.41E-09,3.65E-06,4.65E-06
6.63E-09,2.62E-06,-1.62E-08,3.69E-06,4.65E-06
6.73E-09,5.20E-06,-6.34E-07,3.46E-06,4.80E-06
6.74E-09,5.37E-06,-7.65E-07,3.44E-06,4.81E-06
6.83E-09,5.02E-06,-2.66E-06,2.87E-06,3.14E-06
6.84E-09,4.98E-06,-2.46E-06,2.81E-06,2.97E-06
6.94E-09,4.32E-06,-5.20E-07,2.78E-06,2.26E-06
6.95E-09,4.22E-06,-1.54E-07,2.78E-06,2.16E-06
7.04E-09,2.97E-06,2.32E-06,2.33E-06,2.05E-06
7.05E-09,2.74E-06,2.96E-06,2.25E-06,2.03E-06
7.14E-09,6.50E-07,6.29E-06,2.15E-06,7.22E-08
7.16E-09,1.67E-07,6.77E-06,2.13E-06,-3.79E-07
7.24E-09,5.60E-07,8.74E-06,2.78E-06,-1.38E-06
7.26E-09,6.70E-07,8.40E-06,2.96E-06,-1.66E-06
7.34E-09,1.08E-06,7.22E-06,2.78E-06,-1.43E-06
7.37E-09,1.22E-06,6.87E-06,2.72E-06,-1.36E-06
7.45E-09,1.85E-06,5.85E-06,2.17E-06,-5.94E-07
7.48E-09,2.10E-06,5.47E-06,1.96E-06,-2.95E-07
7.55E-09,4.50E-06,4.54E-06,1.88E-06,-2.92E-07
7.58E-09,5.59E-06,2.60E-06,1.85E-06,-2.90E-07
7.65E-09,7.62E-06,-1.46E-06,2.40E-06,1.52E-06
7.69E-09,8.69E-06,-1.46E-06,2.69E-06,2.46E-06
7.75E-09,8.24E-06,-1.45E-06,2.41E-06,3.27E-06
7.79E-09,7.97E-06,-1.12E-06,2.24E-06,3.76E-06
7.85E-09,7.61E-06,-6.13E-07,2.67E-06,3.66E-06
7.90E-09,7.36E-06,-2.92E-07,2.96E-06,3.59E-06
7.96E-09,4.63E-06,1.51E-07,2.39E-06,4.61E-06
8.00E-09,2.50E-06,3.85E-07,1.96E-06,5.40E-06
8.06E-09,4.64E-08,6.69E-07,2.02E-06,5.51E-06
8.11E-09,-2.12E-06,2.04E-06,2.07E-06,5.60E-06
8.16E-09,-3.75E-06,3.50E-06,1.95E-06,5.79E-06
8.21E-09,-5.37E-06,3.60E-06,1.82E-06,5.99E-06
8.26E-09,-5.04E-06,3.70E-06,2.42E-06,5.15E-06
8.32E-09,-4.65E-06,3.48E-06,3.10E-06,4.20E-06
8.36E-09,-4.54E-06,3.30E-06,2.94E-06,4.15E-06
8.42E-09,-4.39E-06,3.13E-06,2.74E-06,4.10E-06
8.47E-09,-2.57E-06,3.01E-06,3.01E-06,3.89E-06
8.53E-09,8.83E-08,1.07E-06,3.41E-06,3.59E-06
8.57E-09,1.51E-06,-1.60E-07,3.11E-06,3.89E-06
8.63E-09,3.89E-06,-8.34E-07,2.60E-06,4.40E-06
8.67E-09,4.74E-06,-1.20E-06,2.63E-06,4.11E-06
8.74E-09,6.36E-06,-7.89E-07,2.68E-06,3.55E-06
8.77E-09,6.18E-06,-5.90E-07,2.60E-06,3.50E-06
8.84E-09,5.79E-06,7.55E-07,2.43E-06,3.41E-06
8.87E-09,5.74E-06,1.31E-06,2.22E-06,2.75E-06
8.95E-09,5.60E-06,3.96E-06,1.66E-06,1.08E-06
8.98E-09,5.21E-06,4.88E-06,1.65E-06,7.21E-07
9.05E-09,4.03E-06,5.92E-06,1.61E-06,-3.48E-07
9.08E-09,3.79E-06,6.22E-06,1.88E-06,-3.10E-07
9.16E-09,2.92E-06,6.45E-06,2.82E-06,-1.76E-07
9.18E-09,3.00E-06,6.50E-06,2.75E-06,-4.59E-07
9.27E-09,3.33E-06,6.30E-06,2.47E-06,-1.69E-06
9.28E-09,3.23E-06,6.26E-06,2.56E-06,-1.65E-06
9.37E-09,2.65E-06,7.46E-06,3.00E-06,-1.44E-06
9.38E-09,2.79E-06,7.64E-06,2.89E-06,-1.38E-06
9.48E-09,3.82E-06,5.48E-06,2.05E-06,-9.53E-07
9.49E-09,4.09E-06,5.24E-06,2.04E-06,-8.62E-07
9.58E-09,6.74E-06,1.72E-06,2.00E-06,1.10E-08
9.59E-09,6.73E-06,1.48E-06,1.98E-06,1.44E-07
9.69E-09,6.50E-06,4.54E-06,1.74E-06,2.14E-06
9.69E-09,6.57E-06,4.65E-06,1.76E-06,2.21E-06
9.79E-09,8.71E-06,4.41E-06,2.61E-06,4.39E-06
9.89E-09,8.49E-06,3.65E-06,1.97E-06,4.27E-06
9.90E-09,8.48E-06,3.75E-06,1.95E-06,4.27E-06
1.00E-08,5.51E-06,6.52E-06,0.001483105,7.32E-06
1.00E-08,5.31E-06,6.57E-06,0.001581851,7.53E-06
1.01E-08,3.22E-06,7.27E-06,0.342297018,8.85E-06
1.01E-08,3.01E-06,7.18E-06,0.377545834,8.98E-06
1.02E-08,3.47E-06,6.36E-06,1.201017857,0.001889327
1.02E-08,3.54E-06,0.000176935,1.31866014,0.002157956
1.03E-08,3.36E-06,0.001328293,2.129269838,0.036260214
1.03E-08,3.33E-06,0.009034472,2.279382467,0.042575434
1.04E-08,0.000986315,0.049106851,2.609271765,0.162738711
1.04E-08,0.001213152,0.087541483,2.68539834,0.190468028
1.05E-08,0.020213913,0.247690409,2.699814558,0.416429251
1.05E-08,0.02553411,0.316133678,2.703850985,0.479698181
1.06E-08,0.104759276,0.550795496,2.607927322,0.777271926
1.06E-08,0.131167367,0.621458828,2.575953245,0.876462042
1.07E-08,0.304140747,0.824619174,2.452266693,1.190346837
1.07E-08,0.371824145,0.887426615,2.403868914,1.31316793
1.08E-08,0.633501291,1.04095912,2.292858601,1.616977692
1.08E-08,0.75244838,1.124831438,2.242398262,1.755076408
1.09E-08,1.067529798,1.300957561,2.172256231,2.046946287
1.09E-08,1.232575655,1.433172226,2.135514498,2.199833393
1.10E-08,1.566266179,1.67355895,2.103431463,2.456887722
1.11E-08,1.7664814,1.846087933,2.084181547,2.611121178
1.11E-08,2.096575022,2.119259119,2.076813936,2.665699005
1.12E-08,2.322426319,2.305854797,2.071772814,2.703041553
1.12E-08,2.632037878,2.564222097,2.086774588,2.702429533
1.13E-08,2.872845888,2.77013588,2.098442554,2.701953411
1.13E-08,3.150003195,3.020172834,2.129397154,2.701993227
1.14E-08,3.394553185,3.240296125,2.156709909,2.702028275
1.14E-08,3.634964466,3.475096703,2.198934078,2.702390432
1.15E-08,3.875371695,3.66806221,2.24115777,2.70275259
1.15E-08,4.075162411,3.848971844,2.283167124,2.703173637
1.16E-08,4.301589012,3.981030464,2.330777168,2.703650951
1.16E-08,4.450525761,4.089783192,2.368140936,2.704316616
1.17E-08,4.642020702,4.154872894,2.416181087,2.705172539
1.17E-08,4.726821899,4.201881409,2.452994823,2.706082821
1.18E-08,4.850763321,4.218685627,2.506799936,2.707413197
1.18E-08,4.864397526,4.229298592,2.539340496,2.708264828
1.19E-08,4.887120724,4.211419106,2.593574524,2.709684134
1.19E-08,4.836747646,4.201585293,2.618669033,2.710362434
1.20E-08,4.740581989,4.124004841,2.666576624,2.711657047
1.20E-08,4.642500401,4.087062359,2.684046507,2.712182045
1.21E-08,4.426720142,3.936496496,2.722480297,2.713336945
1.21E-08,4.301198006,3.874900818,2.734303236,2.713823795
1.22E-08,3.980423212,3.66907239,2.764517307,2.715067625
1.22E-08,3.847700119,3.597477674,2.773762226,2.715469599
1.23E-08,3.449540138,3.350405931,2.801496506,2.716675043
1.23E-08,3.327722788,3.278343201,2.806770086,2.71686697
1.24E-08,2.892664194,2.98774147,2.8256042,2.717552185
1.24E-08,2.793162346,2.917998314,2.826458454,2.717564344
1.25E-08,2.361977816,2.57255125,2.830159903,2.717616796
1.25E-08,2.288194418,2.50611949,2.82844305,2.717541933
1.26E-08,1.889759421,2.130199194,2.819171667,2.71713829
1.26E-08,1.83891964,2.074510336,2.816476107,2.71702528
1.27E-08,1.48302424,1.732804537,2.797605991,2.716234446
1.27E-08,1.45132494,1.696194172,2.794781685,2.716094494
1.28E-08,1.144891262,1.436248183,2.767480373,2.71474123
1.29E-08,1.128772736,1.418320417,2.764863729,2.714603424
1.30E-08,0.887002289,1.250791669,2.725616932,2.712537527
1.30E-08,0.882101774,1.245206475,2.724005222,2.712459564
1.31E-08,0.730210125,1.170785666,2.674052954,2.710044146
1.32E-08,0.69645381,1.198991179,2.624884605,2.707801819
1.32E-08,0.695365012,1.203385592,2.623298645,2.707729578
1.33E-08,0.794460177,1.335231066,2.582886696,2.705763102
1.33E-08,0.801066697,1.349310398,2.580192566,2.705631971
1.34E-08,1.033440828,1.553455949,2.547602654,2.70381403
1.34E-08,1.05748117,1.578362346,2.544230938,2.703625917
1.35E-08,1.406801343,1.810804963,2.518251657,2.702018499
1.35E-08,1.456705689,1.846922278,2.514540195,2.701788902
1.36E-08,1.883479714,2.090708017,2.497345924,2.700651169
1.36E-08,1.962511778,2.141317129,2.494161844,2.700440407
1.37E-08,2.412473202,2.404485464,2.489649534,2.696348906
1.37E-08,2.516307831,2.472763062,2.488608122,2.695404768
1.38E-08,2.93889451,2.757261276,2.495486975,2.689427853
1.38E-08,3.057218552,2.840373278,2.497413158,2.687754393
1.39E-08,3.418618917,3.125327587,2.511033058,2.68706131
1.39E-08,3.539084435,3.213886023,2.515573025,2.686830282
1.40E-08,3.821876526,3.468495846,2.534704447,2.693433046
1.40E-08,3.932531118,3.553638458,2.542190552,2.696016788
1.41E-08,4.132293701,3.761768818,2.56843853,2.69995451
1.41E-08,4.223097324,3.836086988,2.580369711,2.701744556
1.42E-08,4.345103741,3.992150307,2.613259077,2.703005791
1.42E-08,4.409013271,4.043478012,2.630487204,2.703666449
1.43E-08,4.463837147,4.136800289,2.664639235,2.704978228
1.43E-08,4.496731758,4.147604465,2.685130358,2.705765247
1.44E-08,4.493397236,4.164710522,2.71560359,2.707004547
1.44E-08,4.49111557,4.123372555,2.736453295,2.707852364
1.45E-08,4.432328224,4.06613493,2.762029648,2.709024429
1.45E-08,4.386605263,3.977100611,2.78192234,2.709936142
1.46E-08,4.272169113,3.868988037,2.802883387,2.710980654
1.46E-08,4.171196461,3.746225119,2.821378231,2.71190238
1.47E-08,4.005748272,3.615276814,2.836428165,2.712682247
1.47E-08,3.840302944,3.467407942,2.851477623,2.713462114
1.48E-08,3.63779521,3.328779936,2.859258413,2.713917255
1.48E-08,3.408282042,3.158473969,2.868076801,2.714433193
1.49E-08,3.189666271,3.018226385,2.869302511,2.714648724
1.50E-08,2.908586502,2.831655025,2.870878458,2.714925766
1.50E-08,2.697196245,2.696906567,2.868088961,2.714990377
1.51E-08,2.388244867,2.506460905,2.864011765,2.715084553
1.51E-08,2.205453634,2.386176825,2.858698845,2.714990616
1.52E-08,1.900809884,2.201351166,2.849844217,2.714833975
1.52E-08,1.761543632,2.099698067,2.842014074,2.714556932
1.53E-08,1.495670557,1.922325373,2.827065706,2.714028358
1.53E-08,1.405247927,1.837861776,2.816999197,2.713614225
1.54E-08,1.206315279,1.674066186,2.794852734,2.71270299
1.54E-08,1.16061306,1.607059002,2.78377676,2.712239265
1.55E-08,1.043818593,1.479107022,2.755471468,2.711054325
1.55E-08,1.032685757,1.434604168,2.744923115,2.71059227
1.56E-08,0.999285579,1.37244153,2.713276386,2.709206343
1.56E-08,1.011675358,1.354310036,2.703845024,2.708760738
1.57E-08,1.055922389,1.37681067,2.670163393,2.707169771
1.57E-08,1.082889557,1.382210732,2.662029982,2.706774473
1.58E-08,1.199751377,1.490142465,2.626783609,2.705061674
1.58E-08,1.234634876,1.510898232,2.620630264,2.70476532
1.59E-08,1.423004508,1.696522117,2.587402821,2.703165054
1.59E-08,1.460340261,1.724022865,2.583659649,2.70298481
1.60E-08,1.721685767,1.977487087,2.557458162,2.701723099
1.60E-08,1.756265998,2.004640818,2.555897474,2.701634169
1.61E-08,2.090578318,2.306949615,2.540808678,2.700773954
1.61E-08,2.117306709,2.327801704,2.540574074,2.700741291
1.62E-08,2.518166542,2.647323132,2.537054062,2.700253248
1.62E-08,2.532600641,2.657972813,2.537286758,2.700250864
1.63E-08,2.980110168,2.963640213,2.544501305,2.70017457
1.64E-08,3.422196627,3.23224926,2.562307596,2.700595379
1.64E-08,3.436455965,3.239796877,2.562881947,2.700608969
1.65E-08,3.813164949,3.466255426,2.589749336,2.701446056
1.65E-08,3.838275671,3.479059219,2.591540337,2.701501846
1.66E-08,4.113022804,3.664734364,2.623788595,2.702595472
1.66E-08,4.141447067,3.679359913,2.627124786,2.702708721
1.67E-08,4.296126366,3.815857172,2.660665512,2.703965425
1.67E-08,4.318220615,3.82737875,2.665456533,2.704144955
1.68E-08,4.354249477,3.90515852,2.698863506,2.705560446
1.68E-08,4.360921383,3.908118725,2.705049992,2.705822468
1.69E-08,4.295386314,3.92351222,2.737594128,2.707351685
1.70E-08,4.280261517,3.912010193,2.745105028,2.707704544
1.70E-08,4.139122486,3.864089012,2.775338173,2.709193468
1.71E-08,4.099604607,3.831475735,2.783803225,2.709610462
1.71E-08,3.909785271,3.719655275,2.808942556,2.710891962
1.72E-08,3.846510649,3.6605196,2.817322493,2.711319208
1.72E-08,3.628574848,3.490507126,2.834998846,2.712314844
1.73E-08,3.543295383,3.40491581,2.841915846,2.71270442
1.73E-08,3.309084892,3.195697069,2.852048635,2.713391781
1.74E-08,3.202624559,3.090758562,2.856654644,2.713704348
1.74E-08,2.958973646,2.870383024,2.859603405,2.714052677
1.75E-08,2.831350803,2.756761312,2.861148119,2.714235306
1.75E-08,2.586403608,2.550174236,2.85701704,2.714222908
1.76E-08,2.439431429,2.437794924,2.854538202,2.714215279
1.76E-08,2.206521988,2.259869576,2.843997478,2.713892221
1.77E-08,2.047156811,2.157125711,2.836785078,2.713671207
1.77E-08,1.843232989,2.014865637,2.821871758,2.713148355
1.78E-08,1.684626222,1.929491878,2.810272694,2.712741613
1.78E-08,1.527143478,1.82582581,2.793365479,2.71210885
1.79E-08,1.388186336,1.763790727,2.778447151,2.711550474
1.80E-08,1.290566683,1.697618127,2.760990143,2.710846663
1.80E-08,1.192950249,1.66121757,2.743533611,2.710143089
1.81E-08,1.160961151,1.627091885,2.726474762,2.709398031
1.81E-08,1.12470603,1.616899133,2.707140923,2.708553553
1.82E-08,1.153250337,1.608505249,2.691126823,2.707820892
1.82E-08,1.189949155,1.628611565,2.67053771,2.706879139
1.83E-08,1.264707088,1.643133283,2.656493664,2.706215858
1.83E-08,1.373967409,1.702489734,2.635967731,2.705246449
1.84E-08,1.476347566,1.739978909,2.624795675,2.70468235
1.84E-08,1.64697659,1.847247005,2.6061759,2.703742504
1.85E-08,1.759266973,1.906243801,2.598035336,2.703294277
1.85E-08,1.973640561,2.062926292,2.582494497,2.702438593
1.86E-08,2.083031178,2.137537241,2.577399969,2.702129841
1.86E-08,2.323693752,2.336281538,2.566191673,2.701450825
1.87E-08,2.42282939,2.41758585,2.564381123,2.701301813
1.87E-08,2.676175117,2.644524336,2.559754133,2.70092082
1.88E-08,2.762081146,2.723455429,2.561124802,2.70092082
1.88E-08,3.019811153,2.959183216,2.565236807,2.700921059
1.89E-08,3.09138751,3.027940035,2.569030046,2.701028824
1.90E-08,3.347005606,3.248336792,2.582576752,2.701413393
1.90E-08,3.403313398,3.301231146,2.587619543,2.70158124
1.91E-08,3.647322893,3.482001543,2.609472752,2.702308893
1.91E-08,3.687171698,3.516764641,2.614639997,2.702499151
1.92E-08,3.902354002,3.641614199,2.642543077,2.703525782
1.92E-08,3.925278664,3.66011095,2.647126913,2.703706741
1.93E-08,4.085748672,3.725054264,2.679214001,2.704973698
1.93E-08,4.093654633,3.732011795,2.68272543,2.705119371
1.94E-08,4.170085907,3.741154909,2.716672421,2.706528425
1.94E-08,4.167998791,3.741785526,2.718838453,2.706624508
1.95E-08,4.136695385,3.69952035,2.751322031,2.708066702
1.95E-08,4.131904125,3.698111773,2.752257586,2.708112001
1.96E-08,3.983351707,3.605979919,2.781262398,2.709516048
1.97E-08,3.734379053,3.468356133,2.804968596,2.710800648
1.97E-08,3.726348639,3.46252656,2.805733204,2.710842133
1.98E-08,3.41759634,3.287616968,2.822959661,2.711913109
1.98E-08,3.397015333,3.273337841,2.824107885,2.711984396
1.99E-08,3.06785202,3.066268444,2.834550858,2.712759495
1.99E-08,3.033798218,3.041465282,2.835631132,2.712839603
2.00E-08,2.717779398,2.809988976,2.838703871,2.713253498
2.00E-08,2.672631979,2.7742486,2.839142799,2.713312626
2.01E-08,2.391281128,2.533003807,2.834712267,2.713349581
2.01E-08,2.339179754,2.48897934,2.833891869,2.713356495
2.02E-08,2.101766348,2.260052919,2.822603941,2.713036537
2.02E-08,2.046974421,2.213695049,2.819998741,2.712962627
2.03E-08,1.854095817,2.020551443,2.80296278,2.712324381
2.03E-08,1.800091505,1.979633212,2.798192978,2.712145567
2.04E-08,1.65133512,1.83933723,2.776529789,2.711257696
2.04E-08,1.601748466,1.811357737,2.769308567,2.71096158
2.05E-08,1.499871373,1.730918288,2.745000124,2.70993495
2.05E-08,1.460006237,1.721687794,2.735488176,2.709533215
2.06E-08,1.411181331,1.699125051,2.711255312,2.708488703
2.06E-08,1.388987899,1.711855054,2.700240135,2.708013773
2.07E-08,1.399805427,1.738588572,2.678116322,2.707040787
2.07E-08,1.405471563,1.773378372,2.666527987,2.706531048
2.08E-08,1.478307247,1.836633086,2.647948742,2.705676794
2.08E-08,1.522007942,1.891081452,2.636801243,2.705164194
2.09E-08,1.650802374,1.977293491,2.622596264,2.704455137
2.10E-08,1.738925815,2.048631668,2.612877131,2.703969955
2.10E-08,1.908203721,2.147407055,2.603274345,2.703428507
2.11E-08,2.039863825,2.234480619,2.595805407,2.703007221
2.11E-08,2.227498531,2.340210676,2.590659857,2.70264411
2.12E-08,2.393060684,2.443398714,2.586119413,2.702323914
2.12E-08,2.57594943,2.553468704,2.585180044,2.702136755
2.13E-08,2.758831978,2.672060728,2.584240913,2.701949596
2.13E-08,2.918973684,2.78324151,2.587025881,2.701931477
2.14E-08,3.10047102,2.912778378,2.590182066,2.701910734
2.14E-08,3.227499485,3.019454718,2.59613204,2.702055454
2.15E-08,3.390817404,3.150894642,2.603781939,2.702241659
2.15E-08,3.482299805,3.24582696,2.612235785,2.70253396
2.16E-08,3.616003275,3.366146564,2.624591351,2.702960968
2.16E-08,3.67513299,3.442136288,2.634819508,2.703362703
2.17E-08,3.773686886,3.535833359,2.65186739,2.704032183
2.17E-08,3.8058815,3.587364912,2.662857771,2.704488277
2.18E-08,3.867344141,3.639218807,2.683839798,2.705358744
2.18E-08,3.877438784,3.663911104,2.694394827,2.705814123
2.19E-08,3.899646997,3.663249731,2.717616558,2.706815958
2.19E-08,3.890781403,3.662979126,2.726646185,2.707227468
2.20E-08,3.868124962,3.607511282,2.749722242,2.708279133
2.20E-08,3.84256959,3.588219166,2.75676322,2.708616972
