s,D0_U5.87_S_16mA,D0_U9.A8_S_16mA,D0_U1.AA17_S_16mA,D0_U8.G3_S_16mA
2.21E-08,3.077725887,2.965289593,2.6250453,2.701309204
2.22E-08,3.18329215,3.059087038,2.637790203,2.701583862
2.22E-08,3.202283621,3.081598043,2.641753912,2.701687813
2.23E-08,3.284581184,3.155896425,2.658930302,2.702138424
2.23E-08,3.294920444,3.170186043,2.662780523,2.702249527
2.24E-08,3.350745678,3.216140032,2.683569431,2.702849388
2.24E-08,3.354406357,3.222948313,2.68683362,2.702949047
2.25E-08,3.380030155,3.234610558,2.709682465,2.703646898
2.25E-08,3.379027843,3.235859871,2.71201992,2.703723192
2.26E-08,3.369337559,3.211443901,2.734617472,2.704459667
2.26E-08,3.365950823,3.209759712,2.735983849,2.704507828
2.27E-08,3.315159082,3.15220809,2.756475925,2.705229282
2.27E-08,3.312064648,3.150290012,2.757020712,2.705250502
2.28E-08,3.216125488,3.066083193,2.77391386,2.705907822
2.29E-08,3.080239296,2.965713501,2.785613775,2.70643878
2.30E-08,3.075856447,2.962164164,2.785991192,2.706455946
2.31E-08,2.915205956,2.855668783,2.791790485,2.706823111
2.31E-08,2.904497147,2.848230839,2.792176962,2.706847668
2.32E-08,2.735338926,2.74036932,2.79242301,2.707050562
2.32E-08,2.717838526,2.729065657,2.792448521,2.707071543
2.33E-08,2.557287455,2.623573303,2.787869453,2.707115889
2.33E-08,2.534350634,2.608879328,2.787215233,2.707122326
2.34E-08,2.396826744,2.509696484,2.778621435,2.707012415
2.34E-08,2.371359587,2.492723703,2.777029991,2.706992149
2.35E-08,2.266148329,2.404465437,2.765171051,2.706735611
2.35E-08,2.241866827,2.387189388,2.762434244,2.706676483
2.36E-08,2.171841145,2.315211296,2.748094797,2.706293821
2.36E-08,2.152234554,2.300588846,2.744079828,2.706186771
2.37E-08,2.115248442,2.250452518,2.728247404,2.705714226
2.37E-08,2.102919579,2.242090225,2.72296977,2.705556631
2.38E-08,2.094535589,2.218049049,2.70682478,2.705037832
2.38E-08,2.091255188,2.219386816,2.700507402,2.704834938
2.39E-08,2.107009172,2.222656965,2.68508172,2.704315901
2.39E-08,2.114170074,2.235942364,2.678070068,2.704079866
2.40E-08,2.150762558,2.263841629,2.664451361,2.703603268
2.40E-08,2.169930935,2.289513826,2.6573174,2.703353643
2.41E-08,2.2249403,2.336188793,2.646591425,2.702955484
2.41E-08,2.257945299,2.372897387,2.640156031,2.702716589
2.42E-08,2.328523159,2.431020737,2.633004189,2.702419043
2.42E-08,2.37681365,2.476109266,2.628110886,2.702215433
2.43E-08,2.45867753,2.53853941,2.624707937,2.702023983
2.43E-08,2.522349119,2.588759899,2.622061014,2.70187521
2.44E-08,2.609232426,2.649740934,2.622094631,2.70178318
2.44E-08,2.685894966,2.702009678,2.622124195,2.70170188
2.45E-08,2.769866467,2.757764578,2.624982119,2.701697588
2.45E-08,2.853835106,2.809653997,2.627840042,2.701693535
2.46E-08,2.926913738,2.858300686,2.632804394,2.701764345
2.46E-08,3.009737968,2.907950401,2.638430595,2.701844454
2.47E-08,3.065824747,2.948837757,2.644797564,2.701976299
2.47E-08,3.137934208,2.994184971,2.652983665,2.702145576
2.48E-08,3.17414093,3.026937008,2.660112381,2.702323198
2.48E-08,3.227057934,3.064846754,2.670531273,2.702582598
2.49E-08,3.243980169,3.088789225,2.677852392,2.702789545
2.50E-08,3.272185326,3.114786386,2.690054893,2.703134537
2.50E-08,3.273057938,3.129084349,2.697056293,2.703353882
2.51E-08,3.274724007,3.138010263,2.710422993,2.703772306
2.51E-08,3.263984442,3.142260551,2.716601372,2.703985214
2.52E-08,3.240356684,3.129583836,2.730193853,2.704453945
2.52E-08,3.222290993,3.124397755,2.735261679,2.704642296
2.53E-08,3.176123142,3.087635756,2.748213053,2.705123901
2.53E-08,3.154094219,3.074849606,2.751952887,2.705273628
2.54E-08,3.088004351,3.014651299,2.763172626,2.70572257
2.54E-08,3.064379454,2.997092724,2.765501738,2.705826998
2.55E-08,2.980009079,2.917663574,2.773819923,2.706199408
2.55E-08,2.956579447,2.898601055,2.774838924,2.706259489
2.56E-08,2.85504961,2.807133436,2.779254198,2.706520319
2.57E-08,2.717048883,2.694556236,2.779116392,2.706669569
2.57E-08,2.699041843,2.680483818,2.778427601,2.706666946
2.58E-08,2.572994232,2.58961916,2.773605824,2.706647873
2.58E-08,2.559934139,2.579884768,2.772650003,2.706631184
2.59E-08,2.433673382,2.498702049,2.763408422,2.706470251
2.59E-08,2.426103115,2.493102312,2.762544632,2.706450939
2.60E-08,2.312567234,2.424883366,2.74958992,2.706161022
2.60E-08,2.309762001,2.422609568,2.749083042,2.706147909
2.61E-08,2.22279048,2.369328976,2.733365059,2.705744743
2.62E-08,2.175112963,2.334012985,2.716425896,2.705259562
2.62E-08,2.173575163,2.333499908,2.71587944,2.705243826
2.63E-08,2.16862607,2.318105459,2.699216843,2.704716444
2.63E-08,2.168296099,2.318481684,2.69810605,2.704681396
2.64E-08,2.200791597,2.323938847,2.682347059,2.70414257
2.64E-08,2.204153538,2.326843977,2.680716753,2.704086781
2.65E-08,2.264781952,2.353956938,2.666655779,2.70357275
2.65E-08,2.27344346,2.36107707,2.664646864,2.703499317
2.66E-08,2.351868153,2.409137487,2.653184652,2.703045607
2.66E-08,2.366391182,2.421746254,2.651062012,2.702961683
2.67E-08,2.453933954,2.487311602,2.642921925,2.702601671
2.67E-08,2.474137545,2.505745173,2.641043186,2.702518702
2.68E-08,2.564980745,2.582545996,2.636715412,2.702277184
2.68E-08,2.590415955,2.605918884,2.635503769,2.702209473
2.69E-08,2.680813313,2.686057091,2.635169029,2.70209837
2.70E-08,2.71094656,2.71235466,2.635057449,2.702061415
2.70E-08,2.797919512,2.787958622,2.638509512,2.702076435
2.71E-08,2.831950426,2.814448357,2.639860392,2.702082396
2.71E-08,2.911956072,2.879205227,2.646470785,2.702204704
2.72E-08,2.948321581,2.903077602,2.649475336,2.702260256
2.72E-08,3.016703367,2.9532094,2.65830636,2.702462912
2.73E-08,3.052523851,2.972165108,2.662932396,2.702569246
2.73E-08,3.10406661,3.00662899,2.672945261,2.702824831
2.74E-08,3.134991884,3.019209862,2.678952694,2.702978134
2.74E-08,3.165316343,3.039130211,2.689181328,2.703261614
2.75E-08,3.186064959,3.044558764,2.696180105,2.703455448
2.75E-08,3.193199158,3.052074909,2.705760002,2.703745842
2.76E-08,3.198748112,3.049736977,2.713210821,2.703971863
2.76E-08,3.184025764,3.046897888,2.721526384,2.704252005
2.77E-08,3.17103529,3.035879374,2.728863716,2.704499245
2.77E-08,3.138900518,3.024126053,2.735666752,2.704755306
2.78E-08,3.106766939,3.003151417,2.742469788,2.705011129
2.78E-08,3.063557386,2.983487368,2.747633457,2.705230713
2.79E-08,3.014585733,2.951341391,2.753485918,2.705479383
2.79E-08,2.966861248,2.924868584,2.756947994,2.705651283
2.80E-08,2.905502796,2.881198883,2.761399269,2.705872059
2.80E-08,2.858607769,2.849658489,2.763141632,2.705987215
2.81E-08,2.790069818,2.795772076,2.765688181,2.7061553
2.82E-08,2.747428417,2.761739254,2.765769243,2.706209898
2.82E-08,2.676356316,2.701066971,2.765904665,2.706301212
2.83E-08,2.639592648,2.667698383,2.764501095,2.70629859
2.83E-08,2.569407225,2.605642796,2.76182127,2.706293583
2.84E-08,2.539050341,2.576092243,2.759247303,2.706243753
2.84E-08,2.472264528,2.519096851,2.753584385,2.706134319
2.85E-08,2.448513269,2.495780706,2.750266075,2.706051588
2.85E-08,2.387816906,2.449916124,2.741785765,2.705840588
2.86E-08,2.370956421,2.433962584,2.738191128,2.705741167
2.86E-08,2.320375919,2.403603077,2.727407455,2.705443382
2.87E-08,2.310619593,2.394747972,2.723972321,2.705342293
2.87E-08,2.27577734,2.381894112,2.711704493,2.704981089
2.88E-08,2.272861481,2.378809214,2.708756924,2.704889297
2.88E-08,2.260225296,2.383277893,2.69598341,2.704491615
2.89E-08,2.263046503,2.384137392,2.693680048,2.704416037
2.90E-08,2.278280497,2.404396772,2.681241989,2.704007864
2.90E-08,2.284831047,2.407398224,2.679645538,2.703951359
2.91E-08,2.330684423,2.4416399,2.668470383,2.703555346
2.91E-08,2.338415861,2.445308208,2.667528868,2.703517675
2.92E-08,2.413161993,2.49224782,2.658425808,2.703154087
2.92E-08,2.419658661,2.495485544,2.657996655,2.703133345
2.93E-08,2.51709199,2.554475307,2.651560783,2.702823877
2.93E-08,2.520658493,2.556441307,2.651453972,2.702816486
2.94E-08,2.631233692,2.626863241,2.648144722,2.702584743
2.95E-08,2.740716457,2.704489231,2.648333549,2.702460289
2.95E-08,2.744247913,2.707089424,2.648339748,2.702456236
2.96E-08,2.840706825,2.785104513,2.651967764,2.702453852
2.96E-08,2.847138405,2.79009819,2.652209759,2.702453613
2.97E-08,2.926265478,2.862493753,2.658954859,2.70257163
2.97E-08,2.93445158,2.868964911,2.65965271,2.70258379
2.98E-08,2.995194435,2.929357529,2.668994665,2.702808857
2.98E-08,3.003872395,2.935750484,2.670329332,2.702841043
2.99E-08,3.046756029,2.978902102,2.681510687,2.703148127
2.99E-08,3.05469656,2.983339787,2.683581114,2.70320487
3.00E-08,3.080182076,3.006418943,2.695624352,2.703559637
3.00E-08,3.086063623,3.007169962,2.698403597,2.703641415
3.01E-08,3.093780041,3.010298967,2.710109711,2.704007864
3.01E-08,3.095940828,3.006203175,2.713387728,2.704110622
3.02E-08,3.085023403,2.99216032,2.723731756,2.704457283
3.02E-08,3.081384659,2.982845068,2.727179289,2.704572916
3.03E-08,3.051641226,2.956059933,2.735542059,2.704876661
3.03E-08,3.040002823,2.941819191,2.738814354,2.704995394
3.04E-08,2.993186712,2.907009125,2.744845867,2.705242157
3.04E-08,2.971906424,2.888460398,2.747587442,2.705354214
3.05E-08,2.912336588,2.849508286,2.751209259,2.705537796
3.05E-08,2.881133318,2.827257872,2.753106356,2.705633879
3.06E-08,2.815282583,2.786802053,2.754461527,2.705753088
3.06E-08,2.775769472,2.76131916,2.755274773,2.705824614
3.07E-08,2.710933208,2.72097373,2.754644156,2.70588088
3.07E-08,2.666573048,2.692782164,2.754212618,2.705919266
3.08E-08,2.609215975,2.653746128,2.751918554,2.705914497
3.08E-08,2.564606667,2.623831749,2.75013423,2.705910921
3.09E-08,2.51902771,2.587505579,2.746498108,2.705848932
3.10E-08,2.47881031,2.557728052,2.743289709,2.705794334
3.10E-08,2.446647644,2.525967598,2.738640785,2.705682755
3.11E-08,2.414482594,2.499237061,2.733991623,2.705570936
3.11E-08,2.395098686,2.474176884,2.728690863,2.705420971
3.12E-08,2.37313199,2.454150677,2.722683668,2.705251217
3.12E-08,2.364621162,2.437657118,2.717144012,2.705079317
3.13E-08,2.353678942,2.427973986,2.710021734,2.704858303
3.13E-08,2.353887081,2.42098093,2.704675674,2.704682112
3.14E-08,2.354191303,2.424295187,2.696862221,2.70442462
3.14E-08,2.361426353,2.426388502,2.692065001,2.704261065
3.15E-08,2.37348485,2.44356966,2.684069395,2.703988552
3.15E-08,2.386576653,2.453019142,2.680181742,2.703850508
3.16E-08,2.411571503,2.482905865,2.672759533,2.703587294
3.16E-08,2.429489136,2.49713707,2.670018673,2.703482389
3.17E-08,2.468907356,2.53691268,2.663989067,2.7032516
3.17E-08,2.490218401,2.553184986,2.662434578,2.703181028
3.18E-08,2.54467845,2.599229574,2.658461809,2.703000784
3.18E-08,2.567327976,2.615245581,2.657960892,2.702961445
3.19E-08,2.635276318,2.664146185,2.656457663,2.702843666
3.19E-08,2.65680337,2.678406954,2.656767607,2.702830076
3.20E-08,2.733695269,2.727631092,2.657874823,2.702781439
3.20E-08,2.751823902,2.739443302,2.658714056,2.702787161
3.21E-08,2.83039093,2.78736186,2.662351608,2.702811956
3.21E-08,2.843654633,2.796577692,2.663450956,2.702830553
3.22E-08,2.915268421,2.841914654,2.669386864,2.702930927
3.22E-08,2.923367739,2.848632574,2.670520544,2.702956438
3.23E-08,2.980054379,2.889592886,2.678454638,2.70313406
3.23E-08,2.983806133,2.89398098,2.679447174,2.703160286
3.24E-08,3.020077229,2.927632809,2.68904233,2.70341444
3.24E-08,3.020994663,2.929953337,2.689764977,2.703435898
3.25E-08,3.034759283,2.952244759,2.700607061,2.703758717
3.25E-08,3.034508228,2.952988625,2.70097518,2.703770876
3.26E-08,3.026731968,2.959497213,2.712376118,2.704145432
3.27E-08,3.000880957,2.947115183,2.723232031,2.704532146
3.27E-08,3.000047207,2.946105719,2.723582268,2.704544544
3.28E-08,2.960994244,2.915816307,2.732856274,2.704897881
3.28E-08,2.958390951,2.912753582,2.733474493,2.704921484
3.29E-08,2.909189463,2.868338346,2.74052906,2.705212593
3.30E-08,2.904098272,2.862669468,2.741259098,2.705242634
3.30E-08,2.846601248,2.809772015,2.745633125,2.705452204
3.31E-08,2.838388443,2.801596403,2.74625802,2.705482244
3.31E-08,2.774424314,2.746404171,2.747779846,2.705602884
3.32E-08,2.762580633,2.736371994,2.748061657,2.705625296
3.33E-08,2.695162296,2.684197664,2.746888399,2.705660343
3.33E-08,2.679603338,2.673244953,2.746617556,2.705668449
3.34E-08,2.613425493,2.627612352,2.743175507,2.705628872
3.34E-08,2.594894409,2.616667986,2.74221158,2.705617905
3.35E-08,2.535826206,2.57914567,2.737093925,2.705518484
3.35E-08,2.516139507,2.568965435,2.735388279,2.705485344
3.36E-08,2.469905138,2.539693356,2.729226351,2.705340147
3.36E-08,2.451813936,2.530920506,2.726815224,2.705283403
3.37E-08,2.42242837,2.509476423,2.720170021,2.705105305
3.37E-08,2.409071207,2.502867937,2.717149496,2.705024242
3.38E-08,2.397773504,2.48898983,2.710471869,2.704824209
3.38E-08,2.391855717,2.485637426,2.70697403,2.704719543
3.39E-08,2.396986485,2.479542255,2.700604677,2.704509258
3.39E-08,2.400065184,2.480920553,2.696782827,2.704383135
3.40E-08,2.417879105,2.483102798,2.690941334,2.704176426
3.40E-08,2.430067301,2.490803003,2.686944485,2.704034805
3.41E-08,2.456093788,2.501465321,2.681947947,2.703845501
3.41E-08,2.476335764,2.516673088,2.678061724,2.703698397
3.42E-08,2.506607056,2.535140514,2.674219847,2.70354104
3.42E-08,2.533317566,2.558045149,2.670829773,2.703402042
3.43E-08,2.565079212,2.582474709,2.66836834,2.703287363
3.43E-08,2.596843004,2.611893177,2.665906906,2.703172445
3.44E-08,2.628498316,2.639471292,2.664925337,2.703105927
3.44E-08,2.664376497,2.672934294,2.663812637,2.703030586
3.45E-08,2.694946289,2.700492859,2.664250612,2.703011513
3.45E-08,2.734249115,2.734722853,2.664813519,2.702986956
3.46E-08,2.762719393,2.759443521,2.666448832,2.703008413
3.46E-08,2.804330826,2.791102648,2.668838739,2.703039885
3.47E-08,2.829298735,2.811097383,2.671323061,2.703091383
3.47E-08,2.87091279,2.837528229,2.675463676,2.703177452
3.48E-08,2.890705109,2.852065086,2.67840004,2.703247786
3.48E-08,2.928492308,2.871709824,2.684006453,2.703382254
3.49E-08,2.941669464,2.881063938,2.687026739,2.703461409
3.50E-08,2.970659256,2.893397331,2.693670988,2.703635693
3.50E-08,2.976607561,2.898442984,2.696478605,2.703715801
3.51E-08,2.991808414,2.903462648,2.703653097,2.703920841
3.51E-08,2.991083622,2.905208588,2.706028461,2.703996181
3.52E-08,2.988909721,2.902765274,2.713154793,2.704222441
3.52E-08,2.983149052,2.902052641,2.715030432,2.70428896
3.53E-08,2.962572336,2.891448975,2.721729755,2.704526424
3.53E-08,2.954008818,2.888904572,2.723102808,2.704581022
3.54E-08,2.916895151,2.868986607,2.729053736,2.704817533
3.54E-08,2.907722473,2.865155935,2.72995472,2.704858065
3.55E-08,2.85819602,2.834902048,2.734819174,2.70507741
3.55E-08,2.850064516,2.830419064,2.735303402,2.705103397
3.56E-08,2.793153286,2.789847851,2.738692522,2.705285072
3.56E-08,2.786969423,2.78550148,2.738847256,2.705297709
3.57E-08,2.727186203,2.736397982,2.740343571,2.705420971
3.57E-08,2.723218918,2.733011961,2.740292311,2.70542407
3.58E-08,2.663702726,2.679136276,2.73952198,2.705470324
3.58E-08,2.66184926,2.6773386,2.739416599,2.705468893
3.59E-08,2.604448795,2.623941422,2.736152172,2.705427885
3.60E-08,2.552320957,2.578147888,2.730605125,2.705303192
3.60E-08,2.550639629,2.577045202,2.730426311,2.705299139
3.61E-08,2.507107496,2.543962479,2.723290682,2.705112219
3.61E-08,2.504205704,2.542630196,2.722815037,2.705099821
3.62E-08,2.471788645,2.523308754,2.714832067,2.704874039
3.62E-08,2.468434334,2.522600412,2.714005947,2.704850674
3.63E-08,2.450201035,2.51598978,2.705943108,2.704609394
3.63E-08,2.44759655,2.516552687,2.704791307,2.704574823
3.64E-08,2.445968628,2.520351887,2.697288036,2.704336643
3.64E-08,2.445667267,2.522597551,2.695898771,2.704292536
3.65E-08,2.461173296,2.534276009,2.689336538,2.704070807
3.65E-08,2.46475172,2.538491249,2.687822104,2.704019547
3.66E-08,2.495343208,2.556053638,2.68254447,2.70382309
3.66E-08,2.503909349,2.562540531,2.681066513,2.703768015
3.67E-08,2.545210838,2.584780931,2.677240133,2.703603506
3.67E-08,2.558976173,2.593894958,2.675964832,2.70354867
3.68E-08,2.60532999,2.620101213,2.67363286,2.703422785
3.69E-08,2.623468161,2.632129431,2.672720432,2.703373432
3.69E-08,2.669360399,2.661530972,2.671863079,2.703292131
3.70E-08,2.690220833,2.676413059,2.671473503,2.703255177
3.70E-08,2.731511593,2.707665205,2.672040462,2.70322299
3.71E-08,2.753139973,2.724692345,2.672337294,2.703206301
3.71E-08,2.787612915,2.755650997,2.674230099,2.703224421
3.72E-08,2.808298111,2.773333549,2.675365686,2.703235388
3.72E-08,2.835433483,2.801329136,2.678401709,2.703299761
3.73E-08,2.853999138,2.817547798,2.68047905,2.703343868
3.73E-08,2.874201298,2.840005159,2.684376001,2.703444958
3.74E-08,2.889913559,2.852455616,2.687406778,2.703523636
3.74E-08,2.903672457,2.86757493,2.691787243,2.70364809
3.75E-08,2.915812731,2.874338865,2.695652246,2.703758001
3.75E-08,2.923209906,2.881553411,2.700069427,2.703891039
3.76E-08,2.930607796,2.881560326,2.704486847,2.704024076
3.76E-08,2.931355715,2.881566763,2.708480358,2.704152346
3.77E-08,2.932203531,2.874774456,2.713006496,2.704297543
3.77E-08,2.92610693,2.869180679,2.716308594,2.70441103
3.78E-08,2.918268442,2.856408358,2.720554113,2.704556704
3.78E-08,2.905790806,2.847184181,2.723020554,2.704649925
3.79E-08,2.887553453,2.829639196,2.726625204,2.704786062
3.79E-08,2.870139122,2.818558455,2.728233337,2.704857111
3.80E-08,2.841114998,2.797327995,2.730913639,2.704975367
3.80E-08,2.821071148,2.785651207,2.731734514,2.705024481
3.81E-08,2.782803535,2.761420488,2.73330164,2.705118179
3.81E-08,2.762781858,2.749882698,2.733461857,2.70514679
3.82E-08,2.71873498,2.72299242,2.733814478,2.705209732
3.82E-08,2.701061726,2.711991549,2.733457088,2.705219507
3.83E-08,2.655897617,2.682862043,2.732543945,2.705244303
3.84E-08,2.642038584,2.672729731,2.73180604,2.705237389
3.84E-08,2.600463629,2.642419815,2.729592085,2.705217123
3.85E-08,2.590844631,2.633578777,2.72860527,2.705197096
3.85E-08,2.556491375,2.604162216,2.72508049,2.705125093
3.86E-08,2.55068469,2.597103119,2.723975182,2.705096006
3.86E-08,2.525519609,2.571646929,2.719184875,2.70497036
3.87E-08,2.522645712,2.566751003,2.718093157,2.704937935
3.87E-08,2.507128477,2.548755646,2.712198257,2.704762459
3.88E-08,2.506253004,2.546089172,2.711244583,2.704731941
3.89E-08,2.500125885,2.538604975,2.704570293,2.704518318
3.89E-08,2.500461817,2.537803173,2.7038486,2.704494238
3.90E-08,2.503709316,2.542554617,2.696871519,2.704260349
3.90E-08,2.50460434,2.542882204,2.696420908,2.704244852
3.91E-08,2.518031359,2.559740543,2.689660549,2.704011917
3.91E-08,2.518840313,2.560302973,2.689471483,2.704005003
3.92E-08,2.543892384,2.587363958,2.683617115,2.703793526
3.93E-08,2.580563545,2.620515585,2.679415703,2.703624725
3.93E-08,2.58174634,2.621670723,2.679280281,2.703619242
3.94E-08,2.627485275,2.656325102,2.67708683,2.703504324
3.94E-08,2.630534172,2.658643484,2.67694068,2.703496695
3.95E-08,2.681680918,2.692262173,2.676663637,2.703434229
3.95E-08,2.686973333,2.695617676,2.676635027,2.703427792
3.96E-08,2.738379717,2.726928234,2.678013086,2.703414202
3.96E-08,2.745722532,2.731154919,2.67821002,2.703412294
3.97E-08,2.791894674,2.759688139,2.680910587,2.703442812
3.97E-08,2.800444126,2.764575958,2.681410551,2.703448534
3.98E-08,2.836925507,2.78999567,2.685096979,2.703519106
3.98E-08,2.845344782,2.79517293,2.685947657,2.703535318
3.99E-08,2.869729996,2.816743135,2.690326214,2.703641415
3.99E-08,2.876558304,2.82154417,2.691552401,2.703670979
4.00E-08,2.888748407,2.838003397,2.69635725,2.703806162
4.00E-08,2.892812014,2.841433764,2.697958946,2.703851223
4.01E-08,2.894490242,2.851296425,2.702877045,2.70400548
4.01E-08,2.895147085,2.852162123,2.704801321,2.7040658
4.02E-08,2.888783455,2.854278088,2.709485769,2.704226494
4.02E-08,2.885890961,2.851482391,2.711615086,2.70429945
4.03E-08,2.873752832,2.845611095,2.715780497,2.704451799
4.03E-08,2.867394686,2.838517189,2.717962265,2.704531431
4.04E-08,2.850991488,2.825619221,2.721325397,2.704662323
4.04E-08,2.841148853,2.814308405,2.723343611,2.704741001
4.05E-08,2.821268797,2.796400785,2.725684643,2.704841137
4.05E-08,2.807667255,2.781717539,2.727286339,2.704909563
4.06E-08,2.784870386,2.761386395,2.728498697,2.704974413
4.06E-08,2.76714015,2.744705677,2.729441643,2.705024958
4.07E-08,2.742354155,2.724449635,2.729562283,2.705055475
4.07E-08,2.72048378,2.707271814,2.729668617,2.705082417
4.08E-08,2.695338249,2.6889503,2.728858948,2.705083132
4.09E-08,2.670190811,2.67252183,2.728049278,2.705083847
4.09E-08,2.646897793,2.657120943,2.72654891,2.705060959
4.10E-08,2.620497704,2.642226934,2.72484827,2.705034971
4.10E-08,2.601336718,2.629960775,2.722918034,2.704994678
4.11E-08,2.57670188,2.617001057,2.720436335,2.704942703
4.11E-08,2.563364267,2.607641459,2.718307495,2.704890013
4.12E-08,2.543870211,2.596942425,2.715196133,2.704813242
4.12E-08,2.536970854,2.590185165,2.71304822,2.704752922
4.13E-08,2.525471926,2.582356215,2.709468126,2.704652309
4.13E-08,2.524456739,2.578050375,2.707431316,2.704588413
4.14E-08,2.522518396,2.574197769,2.703542471,2.704466105
4.14E-08,2.525969505,2.572363377,2.701709986,2.704402924
4.15E-08,2.533562183,2.573980808,2.697678566,2.704264164
4.15E-08,2.539738178,2.574642658,2.696109533,2.704206467
4.16E-08,2.555520535,2.583161831,2.69209981,2.704059124
4.16E-08,2.562870979,2.586125135,2.690874338,2.704011202
4.17E-08,2.584921598,2.602303267,2.687197924,2.703867912
4.17E-08,2.592376947,2.607022047,2.686369896,2.703832865
4.18E-08,2.619002342,2.630419493,2.683412552,2.703707695
4.18E-08,2.625971556,2.636034012,2.682986259,2.703686237
4.19E-08,2.656175137,2.664841413,2.681138515,2.703593493
4.19E-08,2.662353516,2.670381784,2.681061029,2.703584433
4.20E-08,2.695711613,2.701750994,2.680643082,2.703535318
4.20E-08,2.700860262,2.706399202,2.680812597,2.703535318
4.21E-08,2.736895561,2.737101793,2.681998253,2.703535318
4.21E-08,2.740756035,2.740391016,2.682284594,2.703540325
4.22E-08,2.778078318,2.767585993,2.685052872,2.703588724
4.22E-08,2.780467749,2.769461393,2.685328245,2.703594923
4.23E-08,2.816313744,2.791288614,2.689459801,2.703686476
4.23E-08,2.817291975,2.792016983,2.68962574,2.703690529
4.24E-08,2.847589016,2.807751417,2.694763899,2.703817368
4.25E-08,2.867210388,2.817180157,2.700311422,2.703966856
4.25E-08,2.86784339,2.81730175,2.700490236,2.703971624
4.26E-08,2.873808622,2.820951223,2.705798149,2.704130411
4.26E-08,2.874206305,2.820842981,2.706151962,2.704140902
4.27E-08,2.866729021,2.81927371,2.710938215,2.704301119
4.27E-08,2.865955353,2.818546772,2.711433411,2.70431757
4.28E-08,2.84740448,2.811762571,2.715553999,2.704472065
4.29E-08,2.844754696,2.809952736,2.716142654,2.704493999
4.29E-08,2.818866491,2.797734261,2.719481707,2.704633951
4.30E-08,2.814073086,2.794361591,2.720099926,2.704659939
4.30E-08,2.784798861,2.776821136,2.722542286,2.704776287
4.31E-08,2.778042793,2.771554708,2.723105907,2.704803228
4.31E-08,2.748533249,2.749612808,2.724534988,2.704887152
4.32E-08,2.740269899,2.742464304,2.724935293,2.704910517
4.32E-08,2.712396622,2.717956305,2.725267649,2.704955578
4.33E-08,2.703104973,2.709403038,2.725378513,2.704970598
4.33E-08,2.677611828,2.684812069,2.72460556,2.70497489
4.34E-08,2.667636395,2.675768375,2.724303246,2.704976559
4.35E-08,2.644739389,2.653661966,2.722531557,2.704943657
4.35E-08,2.634331703,2.6452806,2.721726179,2.704928637
4.36E-08,2.614383459,2.627679586,2.719179869,2.704866171
4.36E-08,2.603934526,2.621050835,2.717846155,2.704833508
4.37E-08,2.587800026,2.608998299,2.714831591,2.704751968
4.37E-08,2.578118563,2.604875803,2.713022709,2.704703093
4.38E-08,2.567076445,2.598349094,2.709870815,2.704612494
4.38E-08,2.559521437,2.597030401,2.707714319,2.704550505
4.39E-08,2.554777384,2.595204592,2.704719305,2.70445919
4.39E-08,2.551087856,2.596621037,2.702389956,2.70438838
4.40E-08,2.55317378,2.598340988,2.699758291,2.704302549
4.40E-08,2.555014372,2.602294445,2.697436333,2.704226732
4.41E-08,2.563393593,2.606511354,2.695257425,2.704149961
4.41E-08,2.571773291,2.612927675,2.693078279,2.704072952
4.42E-08,2.584853411,2.618942499,2.691421747,2.704007149
4.42E-08,2.599678516,2.627993584,2.689544201,2.703932762
4.43E-08,2.615225315,2.635447502,2.688422918,2.703880072
4.43E-08,2.635213137,2.647447348,2.68698144,2.703812599
4.44E-08,2.650966167,2.656113625,2.686378717,2.703775167
4.44E-08,2.673990488,2.671218872,2.685497761,2.70372057
4.45E-08,2.688219547,2.680758953,2.685382843,2.703699827
4.45E-08,2.711935043,2.698608637,2.685191154,2.703665018
4.46E-08,2.723715544,2.708425999,2.685519934,2.703661203
4.46E-08,2.746205568,2.72787261,2.686147451,2.703653812
4.47E-08,2.755354881,2.73713398,2.686850071,2.703665257
4.47E-08,2.775480986,2.75627017,2.6883955,2.703690529
4.48E-08,2.782252073,2.764098644,2.689368248,2.703713894
4.49E-08,2.79955554,2.780605316,2.691854,2.70377326
4.49E-08,2.804294348,2.786346912,2.692965508,2.703803539
4.50E-08,2.818510532,2.798065662,2.69630003,2.703894615
4.50E-08,2.821444988,2.80148387,2.697406292,2.703926802
4.51E-08,2.831924438,2.806981564,2.701356649,2.704041958
4.51E-08,2.83316493,2.808300972,2.702319384,2.70407176
4.52E-08,2.838541269,2.807183504,2.70649147,2.704200745
4.52E-08,2.838235378,2.806968689,2.707236528,2.704225063
4.53E-08,2.836584091,2.799832582,2.711258888,2.704356909
4.53E-08,2.835082054,2.798775196,2.711765051,2.70437479
4.54E-08,2.824569225,2.786826849,2.715306759,2.704500198
4.54E-08,2.822475433,2.78554678,2.715596676,2.704511881
4.55E-08,2.802232504,2.770047903,2.718399048,2.704623699
4.55E-08,2.800287247,2.768979073,2.718525648,2.704629898
4.56E-08,2.771105528,2.750809431,2.720426321,2.704723358
4.56E-08,2.769959927,2.750203848,2.720455885,2.704725742
4.57E-08,2.734444857,2.729721308,2.721375942,2.704796076
4.58E-08,2.697685957,2.707698584,2.721288443,2.704837084
4.58E-08,2.696500301,2.706950426,2.721285582,2.704838514
