s,D0_U5.87_S_16mA,D0_U9.A8_S_16mA,D0_U1.AA17_S_16mA,D0_U8.G3_S_16mA
4.69E-09,8.24E-06,7.73E-06,2.92E-06,4.73E-06
4.74E-09,6.37E-06,8.68E-06,2.93E-06,5.48E-06
4.79E-09,4.39E-06,9.84E-06,3.50E-06,5.47E-06
4.84E-09,2.65E-06,8.70E-06,4.01E-06,5.46E-06
4.90E-09,1.66E-06,7.49E-06,4.03E-06,7.04E-06
4.95E-09,6.68E-07,6.68E-06,4.06E-06,8.61E-06
5.00E-09,6.98E-08,5.91E-06,4.02E-06,9.35E-06
5.05E-09,-6.08E-07,5.92E-06,3.98E-06,1.02E-05
5.10E-09,-4.25E-07,5.92E-06,4.73E-06,1.01E-05
5.16E-09,-1.90E-07,3.80E-06,5.70E-06,9.98E-06
5.20E-09,1.43E-07,2.27E-06,5.70E-06,9.85E-06
5.26E-09,6.28E-07,1.51E-06,5.70E-06,9.66E-06
5.30E-09,9.69E-07,1.03E-06,5.75E-06,9.92E-06
5.37E-09,1.54E-06,7.64E-07,5.84E-06,1.03E-05
5.41E-09,1.61E-06,6.19E-07,6.06E-06,1.00E-05
5.47E-09,1.74E-06,2.30E-06,6.46E-06,9.39E-06
5.51E-09,1.73E-06,3.10E-06,6.44E-06,9.33E-06
5.58E-09,1.72E-06,4.06E-06,6.40E-06,9.20E-06
5.61E-09,2.59E-06,4.44E-06,6.47E-06,8.20E-06
5.69E-09,4.81E-06,4.63E-06,6.65E-06,5.64E-06
5.71E-09,5.09E-06,4.70E-06,6.46E-06,5.63E-06
5.79E-09,5.92E-06,6.02E-06,5.87E-06,5.59E-06
5.81E-09,5.94E-06,6.41E-06,5.96E-06,4.74E-06
5.90E-09,6.03E-06,5.05E-06,6.28E-06,1.71E-06
5.92E-09,6.58E-06,4.72E-06,6.05E-06,1.74E-06
6.00E-09,8.95E-06,8.28E-06,5.02E-06,1.88E-06
6.02E-09,8.83E-06,8.96E-06,5.12E-06,1.90E-06
6.11E-09,8.22E-06,1.01E-05,5.70E-06,1.99E-06
6.12E-09,8.35E-06,1.03E-05,5.69E-06,1.73E-06
6.21E-09,9.24E-06,1.07E-05,5.65E-06,-1.27E-07
6.22E-09,9.29E-06,1.08E-05,5.67E-06,-1.43E-07
6.32E-09,9.69E-06,8.33E-06,5.89E-06,-2.96E-07
6.32E-09,9.80E-06,8.16E-06,5.83E-06,-1.25E-07
6.42E-09,1.14E-05,6.67E-06,4.79E-06,2.45E-06
6.43E-09,1.15E-05,6.62E-06,4.80E-06,2.50E-06
6.53E-09,1.17E-05,6.53E-06,5.13E-06,4.00E-06
6.63E-09,9.07E-06,3.17E-06,4.10E-06,3.94E-06
6.63E-09,8.99E-06,3.26E-06,4.07E-06,3.94E-06
6.73E-09,6.17E-06,5.87E-06,4.48E-06,6.56E-06
6.74E-09,5.98E-06,5.77E-06,4.51E-06,6.74E-06
6.83E-09,2.56E-06,4.32E-06,4.19E-06,7.77E-06
6.84E-09,2.20E-06,4.21E-06,4.16E-06,7.88E-06
6.94E-09,-4.37E-08,3.21E-06,5.02E-06,7.87E-06
6.95E-09,-3.65E-07,3.16E-06,5.14E-06,7.87E-06
7.04E-09,-2.08E-06,2.78E-06,5.31E-06,9.25E-06
7.05E-09,-2.40E-06,2.61E-06,5.34E-06,9.51E-06
7.14E-09,-1.74E-06,1.72E-06,5.48E-06,9.66E-06
7.16E-09,-1.59E-06,2.64E-06,5.51E-06,9.70E-06
7.24E-09,-1.66E-06,6.47E-06,5.83E-06,8.14E-06
7.26E-09,-1.68E-06,6.06E-06,5.92E-06,7.70E-06
7.34E-09,9.53E-07,4.66E-06,5.40E-06,6.93E-06
7.37E-09,1.83E-06,5.10E-06,5.23E-06,6.68E-06
7.45E-09,4.05E-06,6.36E-06,5.91E-06,6.70E-06
7.48E-09,4.91E-06,6.88E-06,6.17E-06,6.71E-06
7.55E-09,7.31E-06,8.15E-06,6.21E-06,5.33E-06
7.58E-09,8.40E-06,7.61E-06,6.23E-06,4.70E-06
7.65E-09,1.04E-05,6.47E-06,6.11E-06,4.13E-06
7.69E-09,1.15E-05,6.68E-06,6.04E-06,3.83E-06
7.75E-09,1.13E-05,7.05E-06,5.87E-06,3.87E-06
7.79E-09,1.12E-05,7.68E-06,5.77E-06,3.89E-06
7.85E-09,1.09E-05,8.68E-06,5.27E-06,2.94E-06
7.90E-09,1.07E-05,8.99E-06,4.93E-06,2.30E-06
7.96E-09,1.11E-05,9.41E-06,4.90E-06,2.19E-06
8.00E-09,1.15E-05,1.02E-05,4.87E-06,2.12E-06
8.06E-09,1.11E-05,1.11E-05,4.60E-06,2.84E-06
8.11E-09,1.08E-05,9.49E-06,4.36E-06,3.48E-06
8.16E-09,1.06E-05,7.79E-06,4.38E-06,3.90E-06
8.21E-09,1.05E-05,7.00E-06,4.41E-06,4.32E-06
8.26E-09,9.69E-06,6.27E-06,5.05E-06,4.36E-06
8.32E-09,8.72E-06,6.40E-06,5.79E-06,4.40E-06
8.36E-09,7.87E-06,6.50E-06,5.77E-06,5.69E-06
8.42E-09,6.78E-06,4.54E-06,5.75E-06,7.34E-06
8.47E-09,5.67E-06,3.12E-06,5.69E-06,7.85E-06
8.53E-09,4.05E-06,2.88E-06,5.60E-06,8.59E-06
8.57E-09,2.87E-06,2.73E-06,5.45E-06,8.57E-06
8.63E-09,9.14E-07,4.45E-06,5.22E-06,8.54E-06
8.67E-09,2.57E-07,5.40E-06,5.68E-06,9.02E-06
8.74E-09,-9.96E-07,4.07E-06,6.58E-06,9.94E-06
8.77E-09,-6.31E-07,3.44E-06,6.43E-06,1.00E-05
8.84E-09,1.71E-07,4.00E-06,6.10E-06,1.02E-05
8.87E-09,2.29E-07,4.23E-06,6.40E-06,9.84E-06
8.95E-09,3.76E-07,3.62E-06,7.18E-06,8.99E-06
8.98E-09,8.63E-07,3.41E-06,6.97E-06,8.91E-06
9.05E-09,2.32E-06,3.10E-06,6.34E-06,8.68E-06
9.08E-09,2.71E-06,3.01E-06,6.34E-06,8.54E-06
9.16E-09,4.10E-06,3.16E-06,6.32E-06,8.05E-06
9.18E-09,4.51E-06,3.19E-06,6.29E-06,7.78E-06
9.27E-09,6.29E-06,4.57E-06,6.15E-06,6.63E-06
9.28E-09,6.57E-06,4.84E-06,6.07E-06,6.63E-06
9.37E-09,8.08E-06,7.09E-06,5.64E-06,6.67E-06
9.38E-09,8.29E-06,7.43E-06,5.63E-06,6.27E-06
9.48E-09,9.78E-06,5.87E-06,5.58E-06,3.50E-06
9.49E-09,9.72E-06,5.70E-06,5.66E-06,3.38E-06
9.58E-09,9.09E-06,7.63E-06,6.45E-06,2.26E-06
9.59E-09,9.10E-06,7.77E-06,6.43E-06,2.26E-06
9.69E-09,9.30E-06,4.84E-06,6.21E-06,2.32E-06
9.69E-09,9.28E-06,4.75E-06,6.17E-06,2.34E-06
9.79E-09,8.66E-06,5.64E-06,5.05E-06,3.03E-06
9.89E-09,7.10E-06,5.27E-06,5.11E-06,3.07E-06
9.90E-09,7.05E-06,5.38E-06,5.11E-06,3.07E-06
1.00E-08,5.32E-06,8.66E-06,0.000242721,3.66E-06
1.00E-08,5.21E-06,8.60E-06,0.000258562,3.70E-06
1.01E-08,3.83E-06,7.84E-06,0.022763368,3.81E-06
1.01E-08,3.69E-06,7.62E-06,0.025091609,3.82E-06
1.02E-08,2.91E-06,5.62E-06,0.089637816,0.00015433
1.02E-08,2.79E-06,1.98E-05,0.098858967,0.000175832
1.03E-08,3.37E-06,0.000115802,0.211073801,0.002501618
1.03E-08,3.48E-06,0.000647562,0.23185429,0.002932318
1.04E-08,7.88E-05,0.003412732,0.38270247,0.012058303
1.04E-08,9.62E-05,0.006182996,0.417512745,0.014164248
1.05E-08,0.001406424,0.017726097,0.588413596,0.036196422
1.05E-08,0.001773277,0.024660544,0.636265695,0.042365409
1.06E-08,0.007657649,0.048435718,0.81103605,0.082986847
1.06E-08,0.009619084,0.061453737,0.8692922,0.096527174
1.07E-08,0.025350101,0.09888114,1.034887075,0.158966169
1.07E-08,0.031505547,0.119670302,1.099683285,0.183398142
1.08E-08,0.063000888,0.170489281,1.245551705,0.268865287
1.08E-08,0.077317305,0.201243371,1.311857104,0.307714939
1.09E-08,0.129400864,0.265824884,1.432965994,0.41534254
1.09E-08,0.156683266,0.309826225,1.496405244,0.47172004
1.10E-08,0.232181326,0.38982749,1.589639068,0.597947776
1.11E-08,0.277480364,0.450082839,1.645579576,0.673684776
1.11E-08,0.376928866,0.545487285,1.716144323,0.81250757
1.12E-08,0.444971889,0.624516904,1.764425039,0.907490611
1.12E-08,0.566456795,0.733944297,1.821179867,1.051412702
1.13E-08,0.6609447,0.834442675,1.865322232,1.163351655
1.13E-08,0.800547659,0.956475914,1.911212325,1.305528641
1.14E-08,0.92372632,1.080866814,1.951703548,1.430978537
1.14E-08,1.076255798,1.21355176,1.977357268,1.56627667
1.15E-08,1.228782773,1.363837957,2.003010511,1.701572418
1.15E-08,1.389058828,1.504734755,2.006126881,1.826083422
1.16E-08,1.570702434,1.680019021,2.009658575,1.967193842
1.16E-08,1.73331821,1.824368596,2.007796049,2.077452421
1.17E-08,1.942400455,2.018911362,2.005401134,2.219216585
1.17E-08,2.101796865,2.159412384,2.009173155,2.312590837
1.18E-08,2.33476305,2.363149881,2.014686108,2.449062109
1.18E-08,2.484612226,2.491826057,2.028506756,2.518574715
1.19E-08,2.73435998,2.696112394,2.051540852,2.634428263
1.19E-08,2.868133783,2.808471441,2.075567961,2.652700901
1.20E-08,3.123518229,3.009149313,2.121437788,2.687584639
1.20E-08,3.235420465,3.104709387,2.152027369,2.690483093
1.21E-08,3.481606007,3.294045687,2.219324589,2.696859598
1.21E-08,3.568025112,3.371502161,2.249738693,2.697978735
1.22E-08,3.78887105,3.524652719,2.327462673,2.700838804
1.22E-08,3.847798109,3.577924013,2.353829384,2.701039553
1.23E-08,4.024575233,3.670325994,2.432928085,2.70164156
1.23E-08,4.055012703,3.697276592,2.454340935,2.701910019
1.24E-08,4.163716793,3.735231876,2.530814648,2.702869177
1.24E-08,4.167889118,3.744340897,2.547702551,2.703163624
1.25E-08,4.185968876,3.744293451,2.620885134,2.704439163
1.25E-08,4.170621872,3.744284391,2.633269072,2.704679489
1.26E-08,4.087747097,3.702363014,2.700142384,2.705977917
1.26E-08,4.062322617,3.696152687,2.707778931,2.706141233
1.27E-08,3.884343624,3.594954014,2.761236906,2.707283974
1.27E-08,3.857846498,3.584111452,2.765349388,2.707398653
1.28E-08,3.60170269,3.415095091,2.805104494,2.708507776
1.29E-08,3.580827475,3.403438568,2.807069778,2.708579302
1.30E-08,3.267706156,3.18300724,2.836547613,2.709653854
1.30E-08,3.256541729,3.175658226,2.837164879,2.709679842
1.31E-08,2.910498857,2.924547434,2.856298208,2.710483074
1.32E-08,2.568028212,2.655077457,2.861359835,2.710740566
1.32E-08,2.55698204,2.646061897,2.861523151,2.710748911
1.33E-08,2.248445272,2.375569344,2.850548029,2.710506678
1.33E-08,2.22787571,2.358767986,2.849816322,2.710490465
1.34E-08,1.962420821,2.115154505,2.827614069,2.709975719
1.34E-08,1.9349581,2.09536767,2.825317144,2.709922552
1.35E-08,1.717233539,1.910703063,2.79737258,2.709170103
1.35E-08,1.686129093,1.893886089,2.79338026,2.709062576
1.36E-08,1.524283051,1.780374527,2.760402918,2.708010197
1.36E-08,1.494311571,1.770045042,2.754296064,2.707815409
1.37E-08,1.399763107,1.716331601,2.71725297,2.706561804
1.37E-08,1.377944708,1.714854002,2.70870471,2.706272602
1.38E-08,1.358541965,1.7086972,2.671284676,2.705040216
1.38E-08,1.353109241,1.720332146,2.660807133,2.704695225
1.39E-08,1.409518242,1.760223508,2.628047943,2.703624249
1.39E-08,1.428321004,1.788890123,2.617128372,2.703267336
1.40E-08,1.552981257,1.871307969,2.591667891,2.702316284
1.40E-08,1.60176003,1.916991591,2.581705332,2.701944113
1.41E-08,1.779999137,2.028664827,2.562160492,2.701075792
1.41E-08,1.861018896,2.088463783,2.5532763,2.70068121
1.42E-08,2.071577072,2.214037418,2.539645195,2.69738245
1.42E-08,2.181871653,2.287570715,2.532504797,2.695654392
1.43E-08,2.39974308,2.421265841,2.526494503,2.686632395
1.43E-08,2.530466557,2.511212111,2.522888184,2.681219339
1.44E-08,2.733791828,2.653626919,2.524992704,2.676271677
1.44E-08,2.872907877,2.757710695,2.526432514,2.672886372
1.45E-08,3.047832251,2.901829004,2.534693956,2.672394753
1.45E-08,3.183884144,3.008401871,2.541119337,2.672012329
1.46E-08,3.323895216,3.137811184,2.553540945,2.675105333
1.46E-08,3.447434187,3.233928919,2.564501286,2.677834511
1.47E-08,3.550419331,3.336455345,2.580570936,2.684752464
1.47E-08,3.653402567,3.414559126,2.596640348,2.691670418
1.48E-08,3.719740391,3.487782001,2.616067648,2.696355581
1.48E-08,3.794924498,3.542385101,2.638085604,2.70166564
1.49E-08,3.827086449,3.587350845,2.658826828,2.702221155
1.50E-08,3.868438005,3.609810829,2.685494184,2.702935219
1.50E-08,3.870047569,3.626032352,2.704397202,2.703459263
1.51E-08,3.872399807,3.606569767,2.732024193,2.704225302
1.51E-08,3.847062349,3.594277382,2.747244835,2.7047019
1.52E-08,3.804834127,3.530094147,2.772612095,2.705496073
1.52E-08,3.756036997,3.494793892,2.784318686,2.705922604
1.53E-08,3.662878275,3.395997286,2.806668043,2.706736803
1.53E-08,3.595878839,3.348951101,2.814882517,2.707079411
1.54E-08,3.448477745,3.227562428,2.832954645,2.707832813
1.54E-08,3.37130475,3.177903414,2.837602854,2.708053827
1.55E-08,3.174085379,3.037585735,2.849481821,2.708618402
1.55E-08,3.096264839,2.988781929,2.850628853,2.708726168
1.56E-08,2.862792969,2.830529213,2.85406971,2.709049463
1.56E-08,2.792821646,2.784370184,2.852742195,2.709086657
1.57E-08,2.542935371,2.615081549,2.848001003,2.709218979
1.57E-08,2.486734629,2.574453115,2.845418692,2.709204912
1.58E-08,2.243189096,2.407069921,2.834228039,2.7091434
1.58E-08,2.203451872,2.374881268,2.830992222,2.709079742
1.59E-08,1.988872647,2.220087528,2.813519239,2.708735943
1.59E-08,1.965009332,2.197154284,2.809997559,2.708639145
1.60E-08,1.797969103,2.060430288,2.785345554,2.707962036
1.60E-08,1.786806583,2.045783043,2.782056093,2.707864285
1.61E-08,1.67888999,1.937160969,2.750254393,2.706918955
1.61E-08,1.675879836,1.929668546,2.747856855,2.70684576
1.62E-08,1.630735517,1.867733359,2.711898327,2.705746889
1.62E-08,1.631278038,1.865669131,2.710707903,2.705708027
1.63E-08,1.648097038,1.866909742,2.673803806,2.704500437
1.64E-08,1.723961234,1.932332516,2.638433933,2.703246593
1.64E-08,1.726408243,1.936104774,2.6372931,2.703206062
1.65E-08,1.854221702,2.049286366,2.606536388,2.702058554
1.65E-08,1.86274147,2.059310436,2.604486227,2.701982021
1.66E-08,2.035267353,2.204675674,2.581086636,2.701081038
1.66E-08,2.053116083,2.222442865,2.578665733,2.700987816
1.67E-08,2.260183334,2.388258934,2.564992428,2.700384855
1.67E-08,2.289761066,2.4138515,2.563039303,2.700298786
1.68E-08,2.517614365,2.586622953,2.559453249,2.697629213
1.68E-08,2.559808969,2.618180037,2.558789253,2.697134733
1.69E-08,2.792035341,2.782275915,2.563518047,2.69331789
1.70E-08,2.845630169,2.816976547,2.564609528,2.692436934
1.70E-08,3.062747717,2.961552143,2.575914621,2.692600965
1.71E-08,3.123538733,2.997174978,2.579079866,2.69264698
1.71E-08,3.306043625,3.119314671,2.596032143,2.697616577
1.72E-08,3.36687994,3.154207468,2.601682901,2.699273109
1.72E-08,3.500089169,3.254522324,2.622849703,2.700479507
1.73E-08,3.552214622,3.285956144,2.631132364,2.700951576
1.73E-08,3.629877567,3.362792969,2.6544137,2.701584816
1.74E-08,3.665179253,3.385923862,2.664996386,2.701872826
1.74E-08,3.689665079,3.434499741,2.688238144,2.702559948
1.75E-08,3.702490568,3.443079472,2.700412035,2.702919722
1.75E-08,3.682043076,3.458679199,2.722091198,2.703637838
1.76E-08,3.669774294,3.447719336,2.735099077,2.704068661
1.76E-08,3.614840746,3.430366993,2.754373312,2.704774857
1.77E-08,3.577253342,3.397136211,2.767561436,2.705258131
1.77E-08,3.498009443,3.351124525,2.783569813,2.705884218
1.78E-08,3.436375618,3.294349194,2.796020508,2.706371069
1.78E-08,3.341318846,3.225409269,2.807509899,2.706857443
1.79E-08,3.257444382,3.146053076,2.817647934,2.707286596
1.80E-08,3.153018713,3.061404228,2.823901892,2.707615376
1.80E-08,3.048596382,2.964693308,2.830155611,2.707944155
1.81E-08,2.940047979,2.874026299,2.831652641,2.70812726
1.81E-08,2.817023993,2.76911068,2.833349466,2.708334684
1.82E-08,2.709947109,2.682710409,2.830929279,2.708380461
1.82E-08,2.572280407,2.579392195,2.82781744,2.70843935
1.83E-08,2.473607302,2.504770756,2.822228193,2.70835948
1.83E-08,2.329394579,2.409904003,2.814059258,2.708242655
1.84E-08,2.246669292,2.34998703,2.806174755,2.70806694
1.84E-08,2.10879755,2.267680407,2.793034554,2.707774162
1.85E-08,2.047860384,2.222412109,2.783863306,2.70754385
1.85E-08,1.931525588,2.156735897,2.766354561,2.707103968
1.86E-08,1.895258665,2.12546134,2.757055998,2.706850052
1.86E-08,1.815470219,2.080896139,2.736598492,2.706291199
1.87E-08,1.803124666,2.062664986,2.727971554,2.706029177
1.87E-08,1.771575212,2.042975903,2.705924749,2.705359221
1.88E-08,1.779040694,2.036127806,2.698286295,2.705104113
1.88E-08,1.801438332,2.044233084,2.675369501,2.704339027
1.89E-08,1.822403789,2.046597242,2.668982744,2.70411253
1.90E-08,1.897277117,2.086247683,2.646174431,2.703303337
1.90E-08,1.924864411,2.095763683,2.641391516,2.703122854
1.91E-08,2.044413805,2.171488523,2.620664835,2.702340841
1.91E-08,2.072795391,2.186050653,2.617590904,2.702212572
1.92E-08,2.226054192,2.299307108,2.600991726,2.701519251
1.92E-08,2.251209021,2.316086531,2.599415541,2.701440334
1.93E-08,2.427289009,2.461282492,2.588382483,2.700887203
1.93E-08,2.446998358,2.476837397,2.587944031,2.700850725
1.94E-08,2.637542248,2.641969204,2.583705425,2.700499296
1.94E-08,2.650757074,2.653359413,2.58397007,2.700493336
1.95E-08,2.848946571,2.823728561,2.587939501,2.700405121
1.95E-08,2.855330706,2.829406977,2.588357925,2.700411558
1.96E-08,3.053265095,2.990725994,2.601332188,2.700608253
1.97E-08,3.234143019,3.125435829,2.621779442,2.701047897
1.97E-08,3.239977121,3.12864542,2.622438908,2.701061964
1.98E-08,3.38601613,3.224947929,2.647177458,2.701665401
1.98E-08,3.395750761,3.228878498,2.648826361,2.701705694
1.99E-08,3.495172739,3.28587985,2.675371408,2.702419043
1.99E-08,3.505458593,3.288234711,2.678117752,2.702492714
2.00E-08,3.549275398,3.310212612,2.70446825,2.703268528
2.00E-08,3.555535078,3.309120893,2.708232641,2.703379393
2.01E-08,3.540905476,3.301751614,2.732409954,2.704161644
2.01E-08,3.538196325,3.29542923,2.736887217,2.704306602
2.02E-08,3.47032094,3.262553453,2.757545233,2.705041409
2.02E-08,3.454656124,3.248994112,2.762312889,2.705210924
2.03E-08,3.345690966,3.192501068,2.778653145,2.705863237
2.03E-08,3.315181732,3.169827461,2.783228159,2.706045866
2.04E-08,3.181037664,3.092086554,2.794947386,2.706592083
2.04E-08,3.136322021,3.059203148,2.798853874,2.706774235
2.05E-08,2.992842913,2.964665174,2.805782557,2.707184315
2.05E-08,2.936698675,2.921721935,2.808493853,2.70734477
2.06E-08,2.796800613,2.816751957,2.810530663,2.707587242
2.06E-08,2.733210087,2.765437841,2.811456442,2.707697392
2.07E-08,2.605487347,2.657675982,2.808687449,2.70775795
2.07E-08,2.538587093,2.601693153,2.80723691,2.70778966
2.08E-08,2.427670479,2.499905348,2.80012846,2.70768261
2.08E-08,2.361121893,2.445017338,2.79586339,2.707618475
2.09E-08,2.269375324,2.358109236,2.785249233,2.70737505
2.10E-08,2.206600666,2.311081409,2.777986765,2.707208633
2.10E-08,2.135581017,2.245966196,2.76505208,2.706864119
2.11E-08,2.080343723,2.212645054,2.754992008,2.706596375
2.11E-08,2.032174349,2.172184706,2.74101162,2.706190109
2.12E-08,1.989671588,2.156103611,2.728675604,2.705831528
2.12E-08,1.966780066,2.138950109,2.714908361,2.705407619
2.13E-08,1.94388938,2.141402006,2.701141596,2.704983711
2.13E-08,1.947472095,2.1437006,2.688608646,2.704581976
2.14E-08,1.951532602,2.164543629,2.674404383,2.704126596
2.14E-08,1.980115056,2.181708097,2.66392827,2.703771353
2.15E-08,2.016863108,2.219911337,2.65045929,2.703314543
2.15E-08,2.065747261,2.247503519,2.64253211,2.703016281
2.16E-08,2.137192726,2.301532507,2.630946159,2.702580214
2.16E-08,2.198939562,2.335655212,2.625618219,2.70234561
2.17E-08,2.301855564,2.404075861,2.616737843,2.701954603
2.17E-08,2.367758512,2.441705704,2.613870621,2.701790333
2.18E-08,2.493574142,2.523568153,2.608397007,2.701476812
2.18E-08,2.555899143,2.562550306,2.607762337,2.701385498
2.19E-08,2.693016291,2.656423092,2.606366396,2.701184273
2.19E-08,2.746245146,2.694825649,2.607616663,2.701160431
2.20E-08,2.882273912,2.796884298,2.610811949,2.701099396
2.20E-08,2.923745632,2.832381248,2.613477945,2.701132536
2.21E-08,3.048166037,2.935276985,2.621476412,2.701232195
