s,D0_U5.87_F_6mA,D0_U9.A8_F_6mA,D0_U1.AA17_F_6mA,D0_U8.G3_F_6mA
4.69E-09,7.33E-06,4.97E-06,9.99E-06,1.14E-05
4.74E-09,7.06E-06,6.70E-06,1.05E-05,1.15E-05
4.79E-09,7.01E-06,8.80E-06,1.05E-05,1.08E-05
4.84E-09,6.98E-06,8.63E-06,1.04E-05,1.02E-05
4.90E-09,7.01E-06,8.44E-06,9.97E-06,9.99E-06
4.95E-09,7.05E-06,6.98E-06,9.52E-06,9.83E-06
5.00E-09,7.85E-06,5.61E-06,9.53E-06,8.22E-06
5.05E-09,8.76E-06,5.48E-06,9.54E-06,6.40E-06
5.10E-09,8.72E-06,5.38E-06,9.66E-06,6.47E-06
5.16E-09,8.67E-06,7.64E-06,9.82E-06,6.56E-06
5.20E-09,8.85E-06,9.28E-06,9.34E-06,6.50E-06
5.26E-09,9.11E-06,1.02E-05,8.65E-06,6.42E-06
5.30E-09,9.13E-06,1.08E-05,8.57E-06,5.35E-06
5.37E-09,9.16E-06,1.11E-05,8.44E-06,3.57E-06
5.41E-09,9.06E-06,1.13E-05,8.40E-06,3.17E-06
5.47E-09,8.87E-06,1.09E-05,8.31E-06,2.42E-06
5.51E-09,9.39E-06,1.07E-05,8.23E-06,2.47E-06
5.58E-09,1.05E-05,1.12E-05,8.03E-06,2.58E-06
5.61E-09,1.08E-05,1.14E-05,7.82E-06,2.67E-06
5.69E-09,1.14E-05,1.26E-05,7.27E-06,2.93E-06
5.71E-09,1.14E-05,1.30E-05,7.25E-06,3.07E-06
5.79E-09,1.12E-05,1.02E-05,7.19E-06,3.51E-06
5.81E-09,1.17E-05,9.37E-06,7.23E-06,3.68E-06
5.90E-09,1.33E-05,9.34E-06,7.36E-06,4.32E-06
5.92E-09,1.33E-05,9.33E-06,7.09E-06,4.55E-06
6.00E-09,1.30E-05,1.00E-05,5.93E-06,5.55E-06
6.02E-09,1.29E-05,1.02E-05,5.94E-06,5.98E-06
6.11E-09,1.25E-05,1.05E-05,5.98E-06,8.28E-06
6.12E-09,1.22E-05,1.05E-05,6.01E-06,8.56E-06
6.21E-09,9.52E-06,8.40E-06,6.19E-06,1.05E-05
6.22E-09,9.29E-06,8.18E-06,6.28E-06,1.07E-05
6.32E-09,7.08E-06,8.65E-06,7.18E-06,1.25E-05
6.32E-09,6.92E-06,8.68E-06,7.19E-06,1.26E-05
6.42E-09,4.63E-06,1.07E-05,7.35E-06,1.44E-05
6.43E-09,4.66E-06,1.08E-05,7.36E-06,1.44E-05
6.53E-09,5.39E-06,9.43E-06,7.53E-06,1.43E-05
6.63E-09,6.83E-06,7.46E-06,7.52E-06,1.63E-05
6.63E-09,6.88E-06,7.46E-06,7.52E-06,1.64E-05
6.73E-09,7.58E-06,7.42E-06,9.62E-06,1.64E-05
6.74E-09,7.63E-06,7.60E-06,9.76E-06,1.64E-05
6.83E-09,7.80E-06,1.01E-05,1.05E-05,1.66E-05
6.84E-09,7.81E-06,1.01E-05,1.05E-05,1.66E-05
6.94E-09,9.38E-06,9.93E-06,1.01E-05,1.64E-05
6.95E-09,9.61E-06,9.83E-06,9.99E-06,1.64E-05
7.04E-09,1.09E-05,9.19E-06,1.12E-05,1.35E-05
7.05E-09,1.11E-05,8.96E-06,1.15E-05,1.29E-05
7.14E-09,1.10E-05,7.72E-06,1.16E-05,1.12E-05
7.16E-09,1.10E-05,7.92E-06,1.16E-05,1.09E-05
7.24E-09,1.27E-05,8.78E-06,1.28E-05,9.24E-06
7.26E-09,1.31E-05,8.02E-06,1.32E-05,8.79E-06
7.34E-09,1.16E-05,5.42E-06,1.33E-05,6.83E-06
7.37E-09,1.10E-05,6.36E-06,1.33E-05,6.18E-06
7.45E-09,9.46E-06,9.07E-06,1.23E-05,4.50E-06
7.48E-09,8.83E-06,9.32E-06,1.19E-05,3.84E-06
7.55E-09,7.38E-06,9.94E-06,1.15E-05,3.93E-06
7.58E-09,6.72E-06,9.89E-06,1.14E-05,3.97E-06
7.65E-09,5.86E-06,9.78E-06,1.07E-05,4.18E-06
7.69E-09,5.40E-06,8.34E-06,1.03E-05,4.29E-06
7.75E-09,5.44E-06,5.72E-06,1.02E-05,3.48E-06
7.79E-09,5.46E-06,6.90E-06,1.02E-05,2.99E-06
7.85E-09,5.74E-06,8.76E-06,1.02E-05,3.32E-06
7.90E-09,5.93E-06,8.30E-06,1.02E-05,3.54E-06
7.96E-09,6.14E-06,7.66E-06,8.50E-06,3.20E-06
8.00E-09,6.30E-06,5.63E-06,7.16E-06,2.94E-06
8.06E-09,5.99E-06,3.16E-06,6.68E-06,3.51E-06
8.11E-09,5.72E-06,1.96E-06,6.26E-06,4.01E-06
8.16E-09,5.72E-06,6.84E-07,6.30E-06,4.08E-06
8.21E-09,5.73E-06,1.07E-07,6.35E-06,4.15E-06
8.26E-09,5.41E-06,-4.34E-07,6.49E-06,5.79E-06
8.32E-09,5.05E-06,-4.37E-07,6.65E-06,7.65E-06
8.36E-09,3.86E-06,-4.38E-07,6.62E-06,7.27E-06
8.42E-09,2.34E-06,1.91E-06,6.58E-06,6.77E-06
8.47E-09,9.42E-07,3.61E-06,5.70E-06,6.89E-06
8.53E-09,-1.09E-06,4.45E-06,4.42E-06,7.08E-06
8.57E-09,-8.72E-07,4.99E-06,4.25E-06,6.63E-06
8.63E-09,-5.01E-07,6.19E-06,3.97E-06,5.90E-06
8.67E-09,-3.49E-07,6.85E-06,4.46E-06,6.05E-06
8.74E-09,-5.92E-08,6.44E-06,5.38E-06,6.35E-06
8.77E-09,4.46E-07,6.24E-06,5.34E-06,6.52E-06
8.84E-09,1.56E-06,2.80E-06,5.24E-06,6.89E-06
8.87E-09,2.21E-06,1.39E-06,5.08E-06,6.47E-06
8.95E-09,3.86E-06,2.23E-06,4.65E-06,5.40E-06
8.98E-09,3.89E-06,2.52E-06,4.88E-06,5.34E-06
9.05E-09,3.98E-06,2.45E-06,5.58E-06,5.16E-06
9.08E-09,4.55E-06,2.43E-06,5.38E-06,5.06E-06
9.16E-09,6.57E-06,3.18E-06,4.68E-06,4.68E-06
9.18E-09,6.62E-06,3.36E-06,4.71E-06,4.83E-06
9.27E-09,6.81E-06,6.92E-06,4.85E-06,5.51E-06
9.28E-09,6.68E-06,7.60E-06,4.96E-06,5.44E-06
9.37E-09,6.01E-06,8.31E-06,5.54E-06,5.06E-06
9.38E-09,6.09E-06,8.42E-06,5.53E-06,4.91E-06
9.48E-09,6.69E-06,7.01E-06,5.47E-06,3.86E-06
9.49E-09,6.84E-06,6.86E-06,5.56E-06,3.88E-06
9.58E-09,8.24E-06,5.78E-06,6.41E-06,4.08E-06
9.59E-09,8.23E-06,5.71E-06,6.40E-06,4.12E-06
9.69E-09,8.13E-06,8.19E-06,6.30E-06,4.73E-06
9.69E-09,8.17E-06,8.28E-06,6.31E-06,4.68E-06
9.79E-09,9.37E-06,8.23E-06,6.54E-06,3.23E-06
9.89E-09,9.58E-06,9.14E-06,6.46E-06,3.67E-06
9.90E-09,9.58E-06,9.14E-06,6.46E-06,3.68E-06
1.00E-08,8.13E-06,9.20E-06,0.000429909,3.18E-06
1.00E-08,8.03E-06,9.27E-06,0.00045814,3.15E-06
1.01E-08,7.84E-06,1.03E-05,0.04689778,4.36E-06
1.01E-08,7.82E-06,1.03E-05,0.051702209,4.48E-06
1.02E-08,7.44E-06,1.06E-05,0.199863538,0.000279273
1.02E-08,7.38E-06,3.65E-05,0.221030056,0.000318531
1.03E-08,7.57E-06,0.00021157,0.445230395,0.005195596
1.03E-08,7.60E-06,0.001288385,0.486748904,0.006098754
1.04E-08,0.000151544,0.006887856,0.742031574,0.026195887
1.04E-08,0.000184761,0.013079058,0.800941527,0.030833574
1.05E-08,0.002899732,0.038876474,1.049234867,0.077245496
1.05E-08,0.003659921,0.053718321,1.118756771,0.090240799
1.06E-08,0.016537249,0.104604498,1.293877482,0.169914231
1.06E-08,0.020829642,0.128973499,1.352250338,0.196471736
1.07E-08,0.054321256,0.199035525,1.431607366,0.309256017
1.07E-08,0.067426309,0.234160513,1.46265924,0.353387803
1.08E-08,0.130660668,0.320023328,1.460597754,0.492224932
1.08E-08,0.159404263,0.366784573,1.459660649,0.55533427
1.09E-08,0.256822169,0.464980036,1.40220356,0.709341347
1.09E-08,0.307851613,0.523395598,1.372106314,0.790013313
1.10E-08,0.437213778,0.629604101,1.285079122,0.944689691
1.11E-08,0.514831424,0.701017916,1.232862592,1.037495971
1.11E-08,0.667706609,0.814089954,1.139058471,1.177848577
1.12E-08,0.772304356,0.8987903,1.074877381,1.273878455
1.12E-08,0.936315477,1.016069531,0.994844556,1.388831854
1.13E-08,1.063879132,1.115683436,0.932597041,1.478239775
1.13E-08,1.226104379,1.236642599,0.881295741,1.561564922
1.14E-08,1.369243741,1.351560712,0.836030006,1.635086894
1.14E-08,1.519690514,1.474141359,0.822495461,1.686315894
1.15E-08,1.670134664,1.598894596,0.808961093,1.737543941
1.15E-08,1.802156568,1.715853572,0.835031569,1.761060476
1.16E-08,1.951779127,1.841625333,0.864577711,1.787712097
1.16E-08,2.061964273,1.945200562,0.925442338,1.791674972
1.17E-08,2.203634262,2.061291695,1.003698707,1.796770215
1.17E-08,2.290243626,2.145133972,1.090431571,1.791754842
1.18E-08,2.416827917,2.241591215,1.217196345,1.784424543
1.18E-08,2.478913307,2.302511454,1.316505194,1.780301809
1.19E-08,2.582388639,2.372764111,1.482019186,1.773430705
1.19E-08,2.619837046,2.411403656,1.578814864,1.777375817
1.20E-08,2.691328764,2.451553345,1.763605237,1.78490746
1.20E-08,2.705057383,2.470672131,1.845740438,1.800589919
1.21E-08,2.735260725,2.482474089,2.026438236,1.835091352
1.21E-08,2.728303194,2.487302065,2.087631702,1.862532735
1.22E-08,2.710523367,2.478373766,2.244013071,1.932659745
1.22E-08,2.688546658,2.475268126,2.284462929,1.968898177
1.23E-08,2.62261796,2.453832626,2.405809879,2.07761097
1.23E-08,2.593363762,2.447580576,2.429455996,2.117594719
1.24E-08,2.488885164,2.420577765,2.513905764,2.260393143
1.24E-08,2.460377932,2.414097071,2.526137829,2.29858017
1.25E-08,2.336843967,2.386404514,2.579145193,2.464061499
1.25E-08,2.315310478,2.381078959,2.585060358,2.492337465
1.26E-08,2.199028969,2.357858658,2.617003202,2.64503026
1.26E-08,2.187277317,2.354418755,2.620116234,2.650918245
1.27E-08,2.105010986,2.343085766,2.641908884,2.692136765
1.27E-08,2.102317572,2.3418715,2.643755198,2.692139864
1.28E-08,2.076280594,2.348442793,2.661602497,2.692169905
1.29E-08,2.079139233,2.348896027,2.662170649,2.691609621
1.30E-08,2.122016191,2.361104012,2.670693636,2.683203697
1.30E-08,2.125473261,2.361510992,2.670577765,2.68279767
1.31E-08,2.232628584,2.361117601,2.666986465,2.670214415
1.32E-08,2.372990847,2.368113279,2.653858423,2.658360958
1.32E-08,2.377518177,2.369763851,2.653434992,2.657978535
1.33E-08,2.511262655,2.419284105,2.638649225,2.650408268
1.33E-08,2.520179272,2.425780296,2.637663364,2.649903536
