s,D0_U5.87_F_6mA,D0_U9.A8_F_6mA,D0_U1.AA17_F_6mA,D0_U8.G3_F_6mA
2.21E-08,2.647780657,2.714532137,2.70595789,2.692800522
2.21E-08,2.642688513,2.715131044,2.705845833,2.693122149
2.22E-08,2.624503136,2.706921816,2.705445528,2.694270849
2.22E-08,2.624362469,2.704951525,2.705352068,2.694480419
2.23E-08,2.623753071,2.68559885,2.704946995,2.695388556
2.23E-08,2.626260281,2.681876898,2.704770088,2.695423603
2.24E-08,2.639798403,2.656381369,2.70381546,2.695613384
2.24E-08,2.642355919,2.652604103,2.703503847,2.69549346
2.25E-08,2.660258532,2.62997365,2.701322794,2.694653749
2.25E-08,2.661400318,2.627549171,2.700914145,2.694456577
2.26E-08,2.672439098,2.616538286,2.696963549,2.692550421
2.26E-08,2.672256231,2.615778685,2.696578741,2.692376614
2.27E-08,2.669514179,2.620871544,2.690808058,2.689770222
2.27E-08,2.6690166,2.621041298,2.690588951,2.689687014
2.28E-08,2.653589725,2.640677691,2.683799267,2.687109232
2.29E-08,2.635008812,2.667030334,2.677640915,2.685363054
2.30E-08,2.634409428,2.667785406,2.677442312,2.685306787
2.31E-08,2.625071287,2.690440893,2.673373222,2.684682131
2.31E-08,2.624448776,2.691259384,2.673101902,2.684640408
2.32E-08,2.631922722,2.70312953,2.671557426,2.68483305
2.32E-08,2.632695913,2.703081131,2.671397686,2.684853077
2.33E-08,2.656610489,2.702628374,2.672007322,2.685344219
2.33E-08,2.660027027,2.701375008,2.672094345,2.685414314
2.34E-08,2.692455053,2.692914963,2.674000502,2.68574667
2.34E-08,2.698460102,2.691190958,2.674353361,2.685808182
2.35E-08,2.727915764,2.682225704,2.676584721,2.685731173
2.35E-08,2.734713793,2.681546688,2.677099705,2.685713291
2.36E-08,2.751574278,2.678717375,2.67892313,2.685252905
2.36E-08,2.756295204,2.680486917,2.679433584,2.68512392
2.37E-08,2.756902695,2.686553955,2.680623055,2.68458581
2.37E-08,2.75710535,2.69111371,2.681019545,2.684406519
2.38E-08,2.744768381,2.704222918,2.681901932,2.684224844
2.38E-08,2.73994112,2.710350513,2.682247162,2.684153795
2.39E-08,2.722699642,2.725329638,2.68341136,2.684620857
2.39E-08,2.714862823,2.730469704,2.683940411,2.68483305
2.40E-08,2.701365709,2.741264105,2.685798168,2.685914278
2.40E-08,2.694295645,2.74253726,2.686771154,2.686480761
2.41E-08,2.689830542,2.744852066,2.689296722,2.687860966
2.41E-08,2.687151432,2.740532398,2.690811872,2.688688993
2.42E-08,2.691654205,2.733692884,2.69357419,2.689959526
2.42E-08,2.69473505,2.724383593,2.695464134,2.6908288
2.43E-08,2.703547239,2.711493731,2.697847128,2.691665888
2.43E-08,2.710401297,2.700176477,2.699700356,2.692317009
2.44E-08,2.717151165,2.686434507,2.701144218,2.692578793
2.44E-08,2.723106861,2.677219629,2.702418327,2.69280982
2.45E-08,2.723073483,2.667390347,2.702661991,2.692570925
2.45E-08,2.723040342,2.663612127,2.702905416,2.692332029
2.46E-08,2.715307951,2.660069942,2.702099085,2.691843271
2.46E-08,2.706544399,2.662704468,2.701184988,2.691289186
2.47E-08,2.694057703,2.664874077,2.6997931,2.690849066
2.47E-08,2.67800355,2.671969652,2.698003531,2.690283298
2.48E-08,2.665769577,2.677094221,2.696563005,2.690082312
2.48E-08,2.647889614,2.684479475,2.694457769,2.689788818
2.49E-08,2.640407801,2.689143896,2.693363667,2.689832211
2.50E-08,2.627937317,2.692250967,2.691539764,2.689904451
2.50E-08,2.62717247,2.693959951,2.690905094,2.690057516
2.51E-08,2.625712395,2.69011116,2.689693689,2.690349579
2.51E-08,2.63053441,2.688278437,2.689391851,2.690445185
2.52E-08,2.641143084,2.678316832,2.688728094,2.690655231
2.52E-08,2.648323059,2.674241543,2.688527584,2.690583229
2.53E-08,2.666671515,2.662486315,2.688014984,2.690399408
2.53E-08,2.672735691,2.658397675,2.687721968,2.690149069
2.54E-08,2.690928698,2.650760651,2.686842918,2.68939805
2.54E-08,2.693810701,2.648533106,2.686397552,2.689050913
2.55E-08,2.704102755,2.649740934,2.684806824,2.687810898
2.55E-08,2.703784227,2.650030851,2.684295416,2.687492609
2.56E-08,2.702403307,2.661325693,2.682079792,2.686113596
2.56E-08,2.700395107,2.663497686,2.681661367,2.6859231
2.57E-08,2.689550877,2.68182683,2.67940259,2.684894085
2.57E-08,2.687692642,2.684542179,2.679194689,2.684852362
2.58E-08,2.674685001,2.703592062,2.677738905,2.684559822
2.58E-08,2.674034357,2.705632925,2.67774415,2.68461442
2.59E-08,2.66774416,2.718389034,2.677794456,2.68514204
2.59E-08,2.668168545,2.719268799,2.677912474,2.685214996
2.60E-08,2.674533844,2.721143961,2.67968154,2.686310053
2.60E-08,2.675137043,2.721206427,2.679781437,2.686348915
2.61E-08,2.693838358,2.712291241,2.682877064,2.687550306
2.62E-08,2.717210054,2.697936296,2.686334848,2.688367844
2.62E-08,2.717963934,2.697535038,2.686446428,2.688394308
2.63E-08,2.735262632,2.685492277,2.689230919,2.688595533
2.63E-08,2.736415625,2.685192585,2.689416647,2.688608885
2.64E-08,2.740472794,2.680844784,2.691005468,2.688323975
2.64E-08,2.740892649,2.681329489,2.691169739,2.688294411
2.65E-08,2.730656624,2.68585372,2.691624403,2.687892199
2.65E-08,2.729194164,2.68737936,2.691689491,2.68783474
2.66E-08,2.709803104,2.697676897,2.691542625,2.687715769
2.66E-08,2.706212282,2.699687243,2.691515446,2.687693834
2.67E-08,2.686215162,2.710140944,2.691433191,2.688072205
2.67E-08,2.681600094,2.711381435,2.691414118,2.688159466
2.68E-08,2.668831348,2.716549873,2.691833973,2.688963413
2.68E-08,2.665256262,2.715696812,2.691951513,2.68918848
2.69E-08,2.663389921,2.712772131,2.69288969,2.690122604
2.70E-08,2.662767887,2.709272623,2.693202496,2.690433979
2.70E-08,2.670101404,2.699211836,2.694297791,2.691139221
2.71E-08,2.67297101,2.69383502,2.694726229,2.69141531
2.71E-08,2.683829308,2.680690527,2.695449591,2.691633224
2.72E-08,2.688764811,2.675393581,2.69577837,2.691732168
2.72E-08,2.696616411,2.664270163,2.695704699,2.691409588
2.73E-08,2.70072937,2.661371708,2.695666075,2.691240788
2.73E-08,2.7013731,2.656101942,2.694684505,2.690545321
2.74E-08,2.701759338,2.65714097,2.694095612,2.690128088
2.74E-08,2.695064068,2.658786058,2.692466736,2.689360619
2.75E-08,2.690482855,2.66363883,2.691352129,2.688835621
2.75E-08,2.68001318,2.670358181,2.689581394,2.688282728
2.76E-08,2.671869993,2.677090883,2.688204288,2.687852859
2.76E-08,2.662799358,2.685266018,2.68680191,2.687657118
2.77E-08,2.654795885,2.690873861,2.68556428,2.687484264
2.77E-08,2.651273966,2.696855783,2.684825897,2.687601328
2.78E-08,2.647752047,2.698649168,2.684087753,2.687718153
2.78E-08,2.651038647,2.700330257,2.684006691,2.687973022
2.79E-08,2.65476346,2.697330475,2.683914661,2.688261747
2.79E-08,2.66294241,2.694859982,2.684239626,2.688453197
2.80E-08,2.673458099,2.688476801,2.684657574,2.688699484
2.80E-08,2.682693481,2.683866501,2.685048103,2.688697577
2.81E-08,2.696191311,2.677414179,2.685618639,2.688694954
2.82E-08,2.702739,2.673339128,2.685811758,2.688491344
2.82E-08,2.713652611,2.670549393,2.686133385,2.688151836
2.83E-08,2.71555829,2.669014931,2.686050892,2.687847853
2.83E-08,2.719196081,2.672228336,2.685893297,2.68726778
2.84E-08,2.716896296,2.673758507,2.685643673,2.687011003
2.84E-08,2.711836815,2.682646275,2.685094595,2.686445713
2.85E-08,2.707530737,2.686282158,2.684878826,2.686347008
2.85E-08,2.696526766,2.69774127,2.684327364,2.686094522
2.86E-08,2.692804098,2.701727152,2.684310675,2.686177254
2.86E-08,2.681636572,2.711079121,2.684260607,2.686425447
2.87E-08,2.680157185,2.713806868,2.684485912,2.686627626
2.87E-08,2.674874067,2.716860294,2.685291052,2.687350035
2.88E-08,2.675760984,2.717593193,2.685674191,2.687570572
2.88E-08,2.679604292,2.712656021,2.687335014,2.688526154
2.89E-08,2.681746006,2.711706638,2.68772769,2.688680887
2.90E-08,2.693311691,2.70054841,2.689847946,2.689516306
2.90E-08,2.695262194,2.698895216,2.690123796,2.68957448
2.91E-08,2.708915472,2.68611145,2.692054033,2.689981461
2.91E-08,2.709790945,2.684741974,2.692169189,2.689967155
2.92E-08,2.718254089,2.675750494,2.693283081,2.689828873
2.92E-08,2.718116045,2.675130367,2.693281889,2.689792633
2.93E-08,2.716046572,2.673704386,2.693264246,2.689248562
2.93E-08,2.715620995,2.67365694,2.693232059,2.689228773
2.94E-08,2.702427864,2.680133104,2.692237139,2.688614368
2.95E-08,2.683497667,2.690786839,2.690863371,2.688305616
2.95E-08,2.682887077,2.6910851,2.690819025,2.688295603
2.96E-08,2.66674161,2.700035572,2.689768553,2.688462496
2.96E-08,2.66566515,2.700229883,2.689698458,2.688473701
2.97E-08,2.658610821,2.70304513,2.68934536,2.689004898
2.97E-08,2.657881021,2.702551126,2.689308882,2.689059973
2.98E-08,2.661688805,2.697939634,2.689602375,2.689661503
2.98E-08,2.662232876,2.69648242,2.689644337,2.689747334
2.99E-08,2.673710823,2.6866467,2.690187693,2.690097094
2.99E-08,2.675836086,2.684607029,2.690288305,2.690161943
3.00E-08,2.688738585,2.673999071,2.690570831,2.690065384
3.00E-08,2.691716194,2.672359467,2.690636158,2.690042973
3.01E-08,2.699906111,2.665528297,2.690299511,2.689516544
3.01E-08,2.702199459,2.665405035,2.690205336,2.689369202
3.02E-08,2.702470541,2.664982557,2.689218044,2.688624859
3.02E-08,2.702560902,2.666969061,2.688889027,2.688376665
3.03E-08,2.695828199,2.672680616,2.687551022,2.687710524
3.03E-08,2.693193674,2.676374435,2.687027454,2.687449932
3.04E-08,2.683641911,2.685403347,2.685811996,2.687100887
3.04E-08,2.67930007,2.689417124,2.685259581,2.686942101
3.05E-08,2.672078848,2.697845697,2.684581518,2.6869874
3.05E-08,2.668296337,2.700376272,2.684226274,2.687011003
3.06E-08,2.666982889,2.704977274,2.684258461,2.687350512
3.06E-08,2.666194677,2.704697371,2.684277773,2.687554121
3.07E-08,2.671248436,2.704254389,2.684896946,2.687977314
3.07E-08,2.674705982,2.701081753,2.685320616,2.688266993
3.08E-08,2.683550835,2.69668889,2.686191559,2.688562393
3.08E-08,2.690429688,2.691996336,2.686868906,2.688792229
3.09E-08,2.698964834,2.686297894,2.687615633,2.688842535
3.10E-08,2.706495762,2.682387829,2.688274384,2.688886881
3.10E-08,2.711166143,2.678217173,2.688649178,2.688711643
3.11E-08,2.715836763,2.677261591,2.68902421,2.688536167
3.11E-08,2.715215921,2.676365614,2.688998461,2.688263655
3.12E-08,2.71451211,2.679293871,2.688969374,2.687954903
3.12E-08,2.709698915,2.681705713,2.688710213,2.687747002
3.13E-08,2.703510761,2.68759656,2.688376904,2.687479734
3.13E-08,2.697291374,2.691850901,2.688133001,2.687447309
3.14E-08,2.688200951,2.698177338,2.687776566,2.687399626
3.14E-08,2.683522224,2.702172756,2.687742472,2.687555313
3.15E-08,2.675724506,2.705871105,2.68768549,2.687814713
3.15E-08,2.674307346,2.707905293,2.687912941,2.688080072
3.16E-08,2.671601772,2.706815958,2.68834734,2.688586473
3.16E-08,2.673341274,2.706297159,2.688741446,2.688842297
3.17E-08,2.677168369,2.700296402,2.689608335,2.689404964
3.17E-08,2.680509567,2.697841406,2.689996243,2.689553499
3.18E-08,2.689048052,2.689080954,2.690987349,2.689933062
3.18E-08,2.692005157,2.686033726,2.691215515,2.689940453
3.19E-08,2.700875998,2.678099632,2.691900015,2.689962387
3.19E-08,2.702088118,2.67578578,2.691907644,2.689863205
3.20E-08,2.706417561,2.67211628,2.691935301,2.689509153
3.20E-08,2.705695868,2.6712358,2.6917696,2.689376593
3.21E-08,2.702568054,2.673506498,2.691051006,2.688802719
3.21E-08,2.700731754,2.673943281,2.690823555,2.688704491
3.22E-08,2.690817595,2.681182861,2.689594746,2.688174248
3.22E-08,2.689027786,2.682255507,2.689412832,2.688139677
3.23E-08,2.67650032,2.691164494,2.688140392,2.687898159
3.23E-08,2.675537109,2.692118883,2.688054323,2.687913656
3.24E-08,2.666224718,2.698493242,2.687222004,2.68806386
3.24E-08,2.666130781,2.698932886,2.687214136,2.688093662
3.25E-08,2.664723158,2.699600935,2.687094212,2.688541174
3.25E-08,2.664970636,2.699623346,2.687110901,2.688557148
3.26E-08,2.672632694,2.69399786,2.687629461,2.689049959
3.27E-08,2.685818672,2.684777975,2.688374281,2.689290285
3.27E-08,2.686244011,2.684505224,2.688398361,2.689298153
3.28E-08,2.698494911,2.676325083,2.688857317,2.689133883
3.28E-08,2.699311495,2.676088095,2.688887835,2.689122915
3.29E-08,2.705400467,2.672650576,2.688766956,2.688622713
3.30E-08,2.706030607,2.672937393,2.68875432,2.688570976
3.30E-08,2.704039574,2.675613165,2.688088417,2.687963009
3.31E-08,2.70375514,2.676707983,2.687993288,2.687876225
3.31E-08,2.695665836,2.684099436,2.687104464,2.687430143
3.32E-08,2.694168091,2.685783625,2.686939955,2.687347412
3.33E-08,2.684592724,2.694542646,2.686260462,2.687244654
3.33E-08,2.682382822,2.696088314,2.686103582,2.687220812
3.34E-08,2.676169395,2.702527523,2.68596077,2.687477589
3.34E-08,2.674429417,2.703032255,2.685920715,2.687549591
3.35E-08,2.674370289,2.704762459,2.686388731,2.68802309
3.35E-08,2.674350739,2.703668356,2.686544657,2.688180923
3.36E-08,2.68005991,2.700522184,2.687424898,2.688648939
3.36E-08,2.682293892,2.698026419,2.687769413,2.688832045
3.37E-08,2.69067812,2.691925764,2.688702106,2.689100266
3.37E-08,2.694489002,2.689026117,2.689126015,2.689222097
3.38E-08,2.701451302,2.682936668,2.689763069,2.689210415
3.38E-08,2.705098152,2.681028843,2.690096855,2.689204454
3.39E-08,2.707551003,2.677560329,2.690257549,2.688970566
3.39E-08,2.709022999,2.677753687,2.690354109,2.688830137
3.40E-08,2.706234455,2.678060055,2.690086842,2.688527107
3.40E-08,2.70432663,2.680543661,2.689903975,2.688319921
3.41E-08,2.698022604,2.683982611,2.689434767,2.688113451
3.41E-08,2.693119764,2.687791109,2.689069748,2.687952757
3.42E-08,2.686425686,2.692416191,2.68867588,2.687940598
3.42E-08,2.680519104,2.695767641,2.688328266,2.687929869
3.43E-08,2.676356792,2.699342251,2.688201666,2.688104391
3.43E-08,2.672194242,2.700436831,2.688075066,2.688278913
3.44E-08,2.671959162,2.701462984,2.688245058,2.688543081
3.44E-08,2.67169261,2.699385166,2.6884377,2.688842535
3.45E-08,2.674807787,2.697674036,2.688779831,2.689066887
3.45E-08,2.678812742,2.69295764,2.689219713,2.689355373
3.46E-08,2.683267593,2.689551353,2.689537287,2.68944335
3.46E-08,2.689778805,2.684072018,2.690001249,2.689572096
3.47E-08,2.693277597,2.68061161,2.690130711,2.689501047
3.47E-08,2.699109077,2.676813602,2.690346479,2.689382792
3.48E-08,2.700191021,2.674724817,2.690232754,2.689204931
3.48E-08,2.702256441,2.67449522,2.690015793,2.688865662
3.49E-08,2.70085144,2.674386024,2.689724684,2.688672781
3.50E-08,2.697760582,2.678104401,2.689084291,2.688248634
3.50E-08,2.694985151,2.67962575,2.688753605,2.688122511
3.51E-08,2.687892437,2.685863018,2.687908649,2.687799931
3.51E-08,2.685297489,2.688032627,2.687671185,2.687775612
3.52E-08,2.677512646,2.694094181,2.686959267,2.687702656
3.52E-08,2.676244259,2.695861816,2.686881065,2.687761068
3.53E-08,2.671713352,2.698976517,2.686601877,2.687970161
3.53E-08,2.672026157,2.699723959,2.686663628,2.688059568
3.54E-08,2.673381567,2.698352337,2.686930656,2.688446522
3.54E-08,2.674704075,2.698088646,2.687056065,2.688514709
3.55E-08,2.681844711,2.692723989,2.687732458,2.688882113
3.55E-08,2.683267832,2.691929102,2.687840223,2.688904047
3.56E-08,2.693228245,2.684981346,2.68859458,2.689056635
3.56E-08,2.694081068,2.684237003,2.688642263,2.689040422
3.57E-08,2.702326298,2.678999662,2.68910408,2.688883305
3.57E-08,2.702498198,2.678638458,2.689100266,2.688856125
3.58E-08,2.705078363,2.677783489,2.68904376,2.688448191
3.58E-08,2.704933882,2.677754879,2.689026356,2.68843317
3.59E-08,2.700462818,2.682037592,2.68848896,2.687966585
3.60E-08,2.691222906,2.689597845,2.687787294,2.687687635
3.60E-08,2.690924883,2.689839125,2.687764645,2.687678576
3.61E-08,2.681762934,2.697074652,2.687311888,2.687729359
3.61E-08,2.681152105,2.697337866,2.687281609,2.687732697
3.62E-08,2.676313162,2.701155186,2.687329531,2.688079596
3.62E-08,2.675812483,2.701048613,2.687334538,2.688115597
3.63E-08,2.677146912,2.700054646,2.687881708,2.688592196
3.63E-08,2.677337646,2.699311733,2.687959909,2.688660383
3.64E-08,2.683641911,2.694296837,2.688767672,2.689053535
3.64E-08,2.684809208,2.693031311,2.68891716,2.689126253
3.65E-08,2.692647219,2.686449051,2.68963623,2.689277411
3.65E-08,2.6944561,2.685191154,2.68980217,2.68931222
3.66E-08,2.69996047,2.679950953,2.690144062,2.689186096
3.66E-08,2.701501846,2.679413319,2.690239668,2.68915081
3.67E-08,2.702221394,2.677570105,2.690101862,2.688840389
3.67E-08,2.702461243,2.678244829,2.690056086,2.688736916
3.68E-08,2.698384285,2.68018508,2.689556122,2.688408613
3.69E-08,2.696789026,2.681998014,2.689360619,2.688280106
3.69E-08,2.69013238,2.686429501,2.688759804,2.688088894
3.70E-08,2.687106609,2.688659906,2.688486814,2.688001871
3.70E-08,2.681077242,2.693343878,2.688057423,2.688020945
3.71E-08,2.677918911,2.694900513,2.687832594,2.688030958
3.71E-08,2.675130606,2.697731018,2.68773222,2.688226223
3.72E-08,2.673457623,2.697678328,2.687672138,2.688343287
3.72E-08,2.674777985,2.697595119,2.687885284,2.688601017
3.73E-08,2.675681353,2.695676327,2.688030958,2.688777447
3.73E-08,2.680015564,2.69301939,2.688396931,2.688966274
3.74E-08,2.683386326,2.689893723,2.688681602,2.68911314
3.74E-08,2.688401937,2.68609786,2.688988209,2.689147949
3.75E-08,2.692827702,2.68313098,2.689258575,2.689178705
3.75E-08,2.696182013,2.679966688,2.689348459,2.689055443
3.76E-08,2.699536324,2.678634405,2.689438581,2.68893218
3.76E-08,2.699963093,2.677385569,2.689278126,2.688720465
3.77E-08,2.700446844,2.678551197,2.689096451,2.688480616
3.77E-08,2.698205233,2.67951107,2.688776493,2.688282967
3.78E-08,2.695323467,2.682929277,2.688365221,2.688028812
3.78E-08,2.691868544,2.685397863,2.688042402,2.687927485
3.79E-08,2.686818838,2.689717293,2.687570572,2.687779665
3.79E-08,2.683946848,2.692445278,2.687384605,2.687802315
3.80E-08,2.679160118,2.695755959,2.6870749,2.687839985
3.80E-08,2.678110123,2.697576761,2.687085152,2.687953711
3.81E-08,2.676105499,2.698280096,2.687104702,2.688171148
3.81E-08,2.677059412,2.698615074,2.687273741,2.688308239
3.82E-08,2.679158211,2.696221828,2.687645912,2.688610077
3.82E-08,2.681329727,2.695242882,2.687872648,2.688705444
3.83E-08,2.686878681,2.690687656,2.688452244,2.68894887
3.84E-08,2.689061403,2.689103127,2.688630104,2.688969851
3.84E-08,2.695608854,2.684406757,2.689163923,2.689032555
3.85E-08,2.696840286,2.683037043,2.689232588,2.688988924
3.85E-08,2.701238155,2.680418253,2.689478159,2.688833475
3.86E-08,2.70122385,2.679789782,2.689442873,2.68876338
3.86E-08,2.701161623,2.680623531,2.689289331,2.688459873
3.87E-08,2.70027566,2.680783749,2.689202547,2.688404083
3.87E-08,2.695492268,2.684895039,2.688733339,2.688102484
3.88E-08,2.694426537,2.685504198,2.688656092,2.688082457
3.89E-08,2.686968088,2.691152573,2.688116074,2.687942028
3.89E-08,2.68627882,2.691757679,2.688082933,2.687953234
3.90E-08,2.679616213,2.69636631,2.687762737,2.688061953
3.90E-08,2.67944169,2.696684122,2.687768936,2.688083649
3.91E-08,2.676824331,2.698004246,2.687862396,2.688410282
3.91E-08,2.676915884,2.698048353,2.687878609,2.688423157
3.92E-08,2.679750919,2.695233107,2.688377857,2.688825607
3.93E-08,2.686595678,2.689492226,2.689044476,2.689105749
3.93E-08,2.686816454,2.689294577,2.689065933,2.689114809
3.94E-08,2.694023371,2.683367729,2.689563274,2.689143419
3.94E-08,2.694503784,2.683120966,2.689596415,2.689145327
3.95E-08,2.698638201,2.679541111,2.689700127,2.688929319
3.95E-08,2.699065924,2.679550409,2.689710855,2.688906908
3.96E-08,2.69840765,2.679637194,2.689390898,2.688563824
3.96E-08,2.698313713,2.680137396,2.689345121,2.688514709
3.97E-08,2.693523645,2.683514357,2.688765049,2.688209295
3.97E-08,2.692636728,2.684456825,2.688657761,2.68815279
3.98E-08,2.686252356,2.689357996,2.688086271,2.688017607
3.98E-08,2.684778929,2.690356493,2.687954426,2.687986374
3.99E-08,2.67987442,2.694516182,2.687631607,2.688062668
3.99E-08,2.678501129,2.695008755,2.687541246,2.688084126
4.00E-08,2.677208424,2.696697712,2.687571764,2.688311338
4.00E-08,2.676777363,2.696257114,2.687582016,2.688387156
4.01E-08,2.679375887,2.694990396,2.687900305,2.68864131
4.01E-08,2.680392742,2.693614006,2.688024998,2.68874073
4.02E-08,2.685348511,2.69024992,2.68844223,2.688897371
4.02E-08,2.687601328,2.688453436,2.688631773,2.68896842
4.03E-08,2.692450523,2.684680939,2.688935995,2.688961267
4.03E-08,2.694990396,2.683315277,2.689095497,2.688957691
4.04E-08,2.697571993,2.680831909,2.689153194,2.688804388
4.04E-08,2.699120998,2.680682898,2.689188004,2.688712358
4.05E-08,2.698548317,2.680447102,2.688997984,2.688497066
4.05E-08,2.698156357,2.681807756,2.688868046,2.688349962
4.06E-08,2.695089102,2.68369174,2.688546658,2.68817687
4.06E-08,2.692703485,2.686136961,2.688296556,2.688042402
4.07E-08,2.688867092,2.689106464,2.688010454,2.687985897
4.07E-08,2.685482025,2.691607952,2.687757969,2.687936068
4.08E-08,2.682739258,2.694276094,2.687639952,2.68800807
4.09E-08,2.679996252,2.695643425,2.687521696,2.688080311
4.09E-08,2.679461241,2.696925402,2.687611103,2.688233376
4.10E-08,2.678854942,2.696377754,2.687712431,2.688406706
4.10E-08,2.68046999,2.695926905,2.687949181,2.688562393
4.11E-08,2.682546616,2.693523884,2.688253403,2.688762426
4.11E-08,2.685265541,2.691788435,2.688517332,2.68885231
4.12E-08,2.689239264,2.688487291,2.688902855,2.688983679
4.12E-08,2.691657782,2.686402321,2.689078093,2.688979864
4.13E-08,2.695688963,2.683678389,2.689370394,2.688973665
4.13E-08,2.696759462,2.682180405,2.689399481,2.688895464
4.14E-08,2.698803186,2.681360006,2.689455032,2.688746214
4.14E-08,2.698274612,2.680969477,2.689355612,2.688643694
4.15E-08,2.697111607,2.682578325,2.689136744,2.688418388
4.15E-08,2.695516586,2.683236361,2.688981056,2.688343287
4.16E-08,2.691440821,2.686681747,2.688583374,2.68815136
4.16E-08,2.689703703,2.687880278,2.688454151,2.688132048
4.17E-08,2.684492111,2.691652536,2.688066721,2.688074589
4.17E-08,2.68340683,2.692752838,2.688015461,2.688107014
4.18E-08,2.679531336,2.695078135,2.687832355,2.688222885
4.18E-08,2.679400682,2.695636034,2.687860727,2.688279152
4.19E-08,2.678834438,2.695302725,2.687983274,2.688522816
4.19E-08,2.679426908,2.69523859,2.688053608,2.688570499
4.20E-08,2.682625055,2.692209721,2.688433409,2.688828707
4.20E-08,2.683422327,2.691760778,2.688498259,2.688849211
4.21E-08,2.689002514,2.687264442,2.688952923,2.688992977
4.21E-08,2.689553499,2.686782837,2.688983679,2.688987732
4.22E-08,2.694879532,2.682812691,2.689280033,2.688936234
4.22E-08,2.695041418,2.682538986,2.689278126,2.688920498
4.23E-08,2.697468281,2.680960894,2.689247608,2.688685894
4.23E-08,2.697409868,2.680908203,2.689235449,2.688675642
4.24E-08,2.69559741,2.68258214,2.68886137,2.688358545
4.25E-08,2.690411091,2.686773062,2.688313484,2.688114882
4.25E-08,2.690243721,2.686928272,2.688295841,2.688107014
4.26E-08,2.684420347,2.691588402,2.6878407,2.688049078
4.26E-08,2.684032202,2.69180131,2.687810421,2.688045263
4.27E-08,2.680342197,2.694889307,2.687642336,2.688181877
4.27E-08,2.679960489,2.694924116,2.687624931,2.688195944
4.28E-08,2.679966688,2.695248604,2.687792301,2.688445807
4.29E-08,2.679967642,2.694903851,2.687816143,2.688481569
4.29E-08,2.683392525,2.692576408,2.688211918,2.688718557
4.30E-08,2.684026718,2.691860676,2.688285112,2.688762426
4.30E-08,2.689030409,2.688138962,2.688708067,2.688877583
4.31E-08,2.690185308,2.687332153,2.68880558,2.688904047
4.31E-08,2.694352627,2.68397069,2.68906188,2.68885541
4.32E-08,2.695519686,2.683514833,2.689133644,2.68884182
4.32E-08,2.69703269,2.681951761,2.689126253,2.688667536
4.33E-08,2.697536945,2.682214022,2.689123631,2.688609362
4.33E-08,2.695965052,2.682967901,2.688887596,2.688402653
4.34E-08,2.695349932,2.684001684,2.68879509,2.688321829
4.35E-08,2.691721916,2.686528683,2.688467979,2.688182354
4.35E-08,2.690072775,2.687973261,2.688319445,2.688118935
4.36E-08,2.686258078,2.691007137,2.688067913,2.688105822
4.36E-08,2.684259892,2.692205667,2.687936068,2.688098907
4.37E-08,2.682017088,2.694385052,2.68787384,2.688206911
4.37E-08,2.680671453,2.694686174,2.687836647,2.688271761
4.38E-08,2.680842876,2.695163012,2.687977552,2.688440084
4.38E-08,2.680960178,2.694263697,2.688074112,2.688555241
4.39E-08,2.683179617,2.693018675,2.68833518,2.688702106
4.39E-08,2.684905767,2.691176891,2.688538313,2.688816309
4.40E-08,2.687904119,2.688940287,2.688789845,2.688878536
4.40E-08,2.69054985,2.686917782,2.689011574,2.688933611
4.41E-08,2.692853212,2.684760571,2.689142227,2.68889451
4.41E-08,2.695156574,2.68350482,2.689272881,2.68885541
4.42E-08,2.695798159,2.682327509,2.689239502,2.688746452
4.42E-08,2.696525335,2.682522058,2.689201832,2.68862319
4.43E-08,2.695433378,2.682682276,2.689041853,2.688503742
4.43E-08,2.694029331,2.684380531,2.688836098,2.688350201
4.44E-08,2.691941977,2.685606956,2.688638449,2.688275337
4.44E-08,2.688891172,2.688140869,2.688349724,2.688165903
4.45E-08,2.686897278,2.689741373,2.688207388,2.688162088
4.45E-08,2.6835742,2.691977978,2.687969923,2.688155651
4.46E-08,2.682550192,2.693207979,2.687934875,2.688212156
4.46E-08,2.680594921,2.694056273,2.687868118,2.688319921
4.47E-08,2.680823565,2.694460392,2.687934399,2.68840003
4.47E-08,2.681326628,2.69340086,2.688079834,2.688575983
4.48E-08,2.682462931,2.692967415,2.688195705,2.688638449
4.49E-08,2.685366869,2.690351009,2.688491583,2.688798189
4.49E-08,2.686713696,2.689440966,2.688592911,2.688818455
4.50E-08,2.690753698,2.686385155,2.688896894,2.68887949
4.50E-08,2.691665649,2.685493946,2.688940525,2.688858032
4.51E-08,2.694922447,2.683407784,2.689096451,2.688781261
4.51E-08,2.695111513,2.682907104,2.689077139,2.688738108
4.52E-08,2.695930481,2.68283987,2.688993216,2.688550472
4.52E-08,2.695530415,2.682826996,2.688937664,2.688510895
4.53E-08,2.693369865,2.684951544,2.688637018,2.68829751
4.53E-08,2.692765236,2.685266256,2.688582182,2.68827796
4.54E-08,2.688533545,2.688738108,2.688199043,2.688141584
4.54E-08,2.688087463,2.689110041,2.688169956,2.688142776
4.55E-08,2.683775187,2.692406178,2.687889099,2.688154697
4.55E-08,2.683624983,2.69263339,2.687886953,2.688165426
4.56E-08,2.681372166,2.694227219,2.687853813,2.688327551
4.56E-08,2.681405783,2.694280386,2.687861681,2.688335419
4.57E-08,2.682444334,2.69335556,2.688109159,2.68857646
